SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,BCHAMP_KILLS,RCHAMP_KILLS,FIRST_DRAG,BDRAG_KILLS,RDRAG_KILLS,FIRST_HERALD,BHERALD_KILLS,RHERALD_KILLS,FIRST_TOWER,BTOWER_KILLS,RTOWER_KILLS,FIRST_BARON,BBARON_KILLS,RBARON_KILLS,FIRST_INHIB,BINHIB_KILLS,RINHIB_KILLS,WINNER
KOREA,59,60,777,157,254,887,91,163,-1,895,79,234,58,221,350,236,-1,15,429,-1,1,10,38,1,1,1,1,1,1,1,1,10,1,0,1,1,0,1,1
KOREA,266,234,103,15,50,517,350,221,429,895,268,5,13,119,111,895,246,107,163,76,2,22,12,0,2,0,0,2,0,0,5,0,2,0,0,2,0,0,0
KOREA,29,62,888,887,517,86,68,895,78,429,58,80,163,221,111,-1,-1,268,92,78,0,23,15,2,0,0,0,2,0,0,5,0,2,0,0,2,0,0,0
KOREA,113,80,711,523,888,429,163,-1,-1,234,58,78,517,236,267,-1,887,15,119,41,0,40,61,1,0,4,1,0,2,1,6,10,0,1,0,1,1,2,1
KOREA,14,64,711,221,888,429,895,-1,-1,-1,68,91,517,236,267,78,58,-1,119,-1,2,29,24,1,2,2,0,2,0,0,8,3,0,1,0,0,1,0,0
KOREA,13,72,887,119,111,103,-1,163,517,68,266,254,61,429,53,268,246,-1,236,350,1,14,25,0,1,1,1,0,2,1,1,7,2,0,0,1,0,2,1
KOREA,266,104,7,429,111,221,350,-1,234,119,126,64,127,145,79,777,78,-1,41,163,0,32,21,0,2,2,0,1,1,0,10,3,0,2,0,0,3,0,0
KOREA,24,80,84,221,111,429,119,76,-1,163,164,120,555,15,350,517,429,7,887,-1,0,22,2,0,1,0,1,0,1,0,5,0,2,0,0,2,0,0,0
KOREA,64,141,3,15,350,142,895,-1,-1,429,164,120,103,523,12,163,119,517,421,-1,1,30,29,0,2,2,1,0,2,0,7,5,0,1,0,0,1,0,0
KOREA,85,102,163,119,875,895,91,-1,-1,-1,58,254,50,15,111,888,-1,68,267,55,1,14,37,0,1,2,1,0,2,1,2,10,1,0,1,1,0,2,1
KOREA,64,876,246,119,32,517,142,163,221,7,3,59,42,360,111,895,24,429,15,-1,0,22,41,1,0,2,0,2,0,1,3,6,1,0,1,2,0,0,1
KOREA,85,104,223,235,3,234,350,119,80,15,777,163,23,221,497,111,24,78,119,895,0,28,5,0,2,0,0,2,0,0,9,2,0,1,0,0,1,0,0
KOREA,68,64,268,235,157,888,78,429,895,887,114,203,163,777,22,-1,236,429,85,-1,0,38,22,1,3,2,1,1,1,1,8,6,0,1,1,1,1,1,0
KOREA,268,203,13,221,497,163,429,-1,119,157,24,76,777,15,555,-1,41,429,234,895,1,42,31,1,2,2,0,2,0,0,10,3,0,2,0,0,2,0,0
KOREA,887,234,39,157,12,7,429,92,64,236,114,62,711,15,32,119,517,-1,555,895,1,24,27,1,2,2,0,2,0,0,6,7,1,0,1,0,2,1,1
KOREA,114,234,55,523,201,888,350,895,429,268,887,91,13,119,32,-1,107,78,895,111,0,40,25,1,0,3,0,2,0,0,10,3,0,2,0,0,2,0,0
KOREA,8,254,103,110,497,55,39,76,163,119,517,64,555,221,350,7,-1,78,895,119,1,27,11,0,2,0,0,2,0,0,6,0,0,1,0,2,0,0,0
KOREA,24,64,7,30,32,163,-1,555,-1,429,102,427,777,119,201,895,350,-1,221,517,0,35,21,1,3,2,1,0,2,1,10,4,1,1,1,0,2,0,0
