MATCH_ID,BSUM1_ID,BSUM1_CHAMP_ID,BSUM2_ID,BSUM2_CHAMP_ID,BSUM3_ID,BSUM3_CHAMP_ID,BSUM4_ID,BSUM4_CHAMP_ID,BSUM5_ID,BSUM5_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RSUM1_ID,RSUM1_CHAMP_ID,RSUM2_ID,RSUM2_CHAMP_ID,RSUM3_ID,RSUM3_CHAMP_ID,RSUM4_ID,RSUM4_CHAMP_ID,RSUM5_ID,RSUM5_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,BCHAMP_KILLS,RCHAMP_KILLS,FIRST_DRAG,BDRAG_KILLS,RDRAG_KILLS,FIRST_HERALD,BHERALD_KILLS,RHERALD_KILLS,FIRST_TOWER,BTOWER_KILLS,RTOWER_KILLS,FIRST_BARON,BBARON_KILLS,RBARON_KILLS,FIRST_INHIB,BINHIB_KILLS,RINHIB_KILLS,WINNER
KR_6057844675,sbDHeqqUvLDhNA3yYnS3t93fG4d9doqldZjOkb3rwrybN_HaFAGyIp0H1w,59,3PV_W4RY09TzgEQfBZNdSlsHFwxjwbjzIwXsawLuoSVYyptv5oP34fbJJA,60,C8JeB0UVt7XBWdBC1EsTOMUecwXQ7M2s3aT8BiB6GCyoE4E,777,agy7tVJmthI4QFrgcC_GjBbhdd0juuBeCIIRwH-sS0AM1ek,157,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,254,887,91,163,-1,895,igWJ9PgkZ2Q7hcj35eZtdR3JWhjmhv2_UixQS0kkpCoUlPkJt5mtksAYRg,79,BjYUi1tyVDyqhBTTTSWy-UEI7fJCPY-qT7hCRXjbbuzDZtw,234,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,58,kThzELMCYW_yDlkKUnKuWceuCZ1sO4BfDeGbODBg5wB7Dk2X_MshZxgI9w,221,lcjVcmKjgpAc3GRLY701X_mDF9Cj-yJuc-8plhIhNfIo2qNp,350,236,-1,15,429,-1,RED,10,38,RED,1,1,RED,1,1,RED,1,10,RED,0,1,RED,0,1,RED
KR_6055710166,TOvKujDuw_rTCUebjSXidH8OJf_IoReR-YNkEDRhF-xCoOA,266,8K1yx07pCws-gzQxIzqyuoyVtEGbaUk35YQDtbEyoFgIA2Y,234,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,103,neTBID6mtg2VghrIdOtPVxRrBRJ4elf07mPURSA9hfz9bPc,15,aWidBVCzTkjdeRk-Am68IhSgtOFms3Lg3zIV1OEcpF2fDnb8psa6paaifA,50,517,350,221,429,895,ikzG846eDWlVUWrNqsguEW-vlfspmUIlLy-_3EyMwhbiYA,268,nsUBp9jJ6gUcheforfqorZLMNc0OrwuMXXtrQfx3NU__i1Q,5,LThHb84Jl3pmtodBlTuIBnT-4F8J5V1R6zBKZklA366LOuM,13,gRAACfC2nCztykyzPBsW6-P6Jm8pBukXmi5DofSfKmCh9xk,119,ZalN8QQLm1syhUyJXria3vVYhnJ-skJRmxrLDVImzbybNgqUk_xFMr6TEg,111,895,246,107,163,76,NONE,22,12,BLUE,2,0,BLUE,2,0,BLUE,5,0,NONE,0,0,NONE,0,0,BLUE
KR_6055326646,vw7N9YLAgtt3OEuzBHDzq7gQjIcdhK-crpvGNdbm7co2dck,29,EV23s0Fe5ptC8cyk1148besP5YnAtguSS9golPxZRwvwEyo,62,5C7Ab5bDdvKhppo5D5JoCiGkuW98oNYJLrjZPfo5cqpG20M,888,aFwzyFYDcqUvZje-bKywj8NPVlMxGj-MfCahYynTXvYVysQ,887,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,517,86,68,895,78,429,n1wfdOJvErRcMNxFJC1Fc4cmUnp6UJUvdFyUVbkqwMx7Q3E,58,5apL2jFu3piZFhNmhuB1MheKW82Rmw1IGmWfuv-AtwfB36Y,80,hNC5GRcaJZ-PsyTPN4sGW_uWH9MalltiiKlPa7S3cx0p081jzl_Sb6m5uA,163,cavCJvnqLg-URoqrQa260cSua3ZPYDRxao3ph4HL1a8h3EU,221,MPICK78LwwK3BBW0mkGbn11-IJQiLYkPimXH2c5xufj2ccE,111,-1,-1,268,92,78,BLUE,23,15,NONE,0,0,BLUE,2,0,BLUE,5,0,NONE,0,0,NONE,0,0,BLUE
KR_6053723720,5A4WJpFsCzkRoVDHzNAVO6bre5LRlLSlu5bDjX2oBOs9qKE,113,MDqGtPmXx3f2LMeKFTuWuI53bD4usXQCxyua869BLnh8WxZGcqdGHXDKyA,80,KgSuGOGxEJikfizSiVtI5v9QcqtN2aPrEmWAyP3Rj9bkuB0,711,T9cTTfK038tIME3U2xPWTaO4Vl20PhEfKnp9JQSobN8OCrk,523,sagYqipZBJ5neU3czDDJ0Nce6yygJU3jQCsH2s7N1O46F6s,888,429,163,-1,-1,234,JaASwUyn3eSV9ZEKHIPpQ_4BiaN9SF1NYtHyRt2kp27AJA,58,sbDHeqqUvLDhNA3yYnS3t93fG4d9doqldZjOkb3rwrybN_HaFAGyIp0H1w,78,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,517,V6Fp9BQwofuRoeIin6Y5Nz5kJRp2vHGIvZUsi4AQkqDO1NR06X8pyiVEcA,236,HTUIbTdhQ3sXqiyq3dQ_7hQwGK7I6OBdnxJ-m8ob4VN1M62N4WMfTufj0w,267,-1,887,15,119,41,BLUE,40,61,RED,0,4,RED,0,2,RED,6,10,BLUE,1,0,RED,1,2,RED
KR_6053619349,q3wZkwddVzV3gqDEZuE7l65m8U0j40aFprEdroCXXRyFXi0,14,Tx5p5q4af3CF8ckXbeZCZk4-RD8WepIX3KU1NzF5BS5swQmUCko_rRsPCA,64,FR8ABgAmWaIHci98kpniqL3iddOz_W2zUv3gfV_GjpT74vGk,711,lhTGXwclX7jr-nYbvC1dwC4LaHBJhddgLzqhzO-GeMu62TV1wvvDwzrIUQ,221,SCu_pVJRXo5x2xkIH4ur1pKE51Cuf8_AtCqERkKtFa-KV1l_nSnOf0bOmA,888,429,895,-1,-1,-1,VQ8fuFIHzyEykyBzHAPVFBOkI_OruafxNeGRIX_0rWCVtwc,68,oWUMM2Z7BgSeWxE3yu1CkypJ0iVJCDiFVHN0iwndQkyYaME,91,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,517,EZ-7Joq5tcubmZj4rJEfLL0IoUMzvUIXevVctL0Vb3VpkXJZLwf3wmuWHA,236,fySksmBrOJPpG30pl8mo5NKu26LUjW25oGtriXwcx3HySAoD6aNkQQSNIQ,267,78,58,-1,119,-1,NONE,29,24,RED,2,2,BLUE,2,0,BLUE,8,3,BLUE,1,0,BLUE,1,0,BLUE
KR_6053673710,VfWsfejPGq7dAaVPr6Lc-YATkj1OPvyiygcMnjbSc-RYvrhWsMQCT9L10Q,13,0HoBuI5QJjtEEdy5a4-eFbPilGzx0pIE2w0u94oCkxP7-dBr,72,Mo4_dPSMiCTMw95cwRmMBYbXVY5jT0kCHcqYlNf_V7XkWtY,887,T9cTTfK038tIME3U2xPWTaO4Vl20PhEfKnp9JQSobN8OCrk,119,zhIKvtHTZQHw6cBPWccZB-RyLrtvB6Me-zHJu3BXltIj0UYtYbGsmYLzvw,111,103,-1,163,517,68,i6T88UscEC31ZDny1Gd6VSyQsvXJmmJeXbeIDlGb7CRWwhY,266,BjYUi1tyVDyqhBTTTSWy-UEI7fJCPY-qT7hCRXjbbuzDZtw,254,jsLn-j7pX-VajGXxY03dzRyRU4puN1UGSUijnl2DUDWgSOU,61,0RsNAi20aV2ht18YzhiOSW7G5KWqQWdHDRUP9HiXRbwBybw,429,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,53,268,246,-1,236,350,RED,14,25,BLUE,1,1,RED,0,2,RED,1,7,NONE,0,0,RED,0,2,RED
KR_6053555902,9UhgQoFR5eYN-uAAriQbnwwNvCfsK7iLmesKHt0tzN8jsZ2mDKKTOcEerA,266,XRxugk2AAb_ZLjGJ4gMOBTeAD4lx68e5f-8QrNRCmk_ha5QsEfklO8AkDA,104,qj-FTmTNyMgw48EPE_DOSYP0Or13zJ4km2owWliBLc2zHG4,7,NeaWXTyEi92DebOGbv9Bg4i9AjxbABodH1gJuRKrFbto1kv233NivDlSFA,429,4k8yFgb1e-uPWqMPKbNCnPIlnj9CmYjJNAWDYwVYZAUyfxc,111,221,350,-1,234,119,XWl5H_05LATCY2Thu7HbSBzMQuxFdFXPb-bK-iDNQ0aBo91sVJIC8Y3zBA,126,EV23s0Fe5ptC8cyk1148besP5YnAtguSS9golPxZRwvwEyo,64,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,127,TNmphBk-kkJXhVz7jpmZ_SkabS2-7Lt_41AxNLMR0RT4OVg,145,0GgQ7CbH3wyflzaWxfDP5EoMq6kJ0y2Q8fjOsE-L9h7mrw,79,777,78,-1,41,163,BLUE,32,21,BLUE,2,2,BLUE,1,1,BLUE,10,3,BLUE,2,0,BLUE,3,0,BLUE
KR_6051977132,JOM4Cmz3ZYknz7_cIFL3k_DMcZSwfZ2lFoGuZuSPQkop7l8,24,TfzFg5l6mpkWKQ5lY4FtozibGGIif72s05bKM8QgIcuDVeg,80,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,84,TWHK-oYXVGiztUAtO9RJV7q8wjSVzSqAChpVLBqnXb5KJpo,221,fySksmBrOJPpG30pl8mo5NKu26LUjW25oGtriXwcx3HySAoD6aNkQQSNIQ,111,429,119,76,-1,163,TAwON5d2CVH7-8IGb5WVOTGWahBzh8BLXHwg_S-JoYVYdZU,164,h8-PGpiwFIUwxytDatvAW99M4TI61CXG5p5LmVc-OkIbMT1ukVsdDzc8Jw,120,0NcNkChIAYny5ml1-6BihFGi4m4jhbFW4CHE1a7uSKxzF8w,555,1FvqDwYHCWww27G8IJt5QgPHqF7m27DxgMTJ0J2mt0RMyxgpoDES7mk4Fw,15,N5hzgznewnbLmU9n4y9pcqWZXnKX1BYLTcpNrqM4Qd1UM8O44X4wrICwBA,350,517,429,7,887,-1,BLUE,22,2,BLUE,1,0,RED,0,1,BLUE,5,0,NONE,0,0,NONE,0,0,BLUE
KR_6051901942,a0ZQXONhSq9CpQrAoaNmayfWdxUQaAyazIX7plL2_OCi1EI,64,GV4FWa8rTwsYhKPOhkSHq26fOuHzoyUXEl8JZ1e7pXEwvv8,141,WgAUMEzNz1_acJHycfA_22-TiIDLGbKGB1YAxdooYJJTkNsQq9XsAfHJ6A,3,GY1ggO5xpsX9bPkqiK2E02PChgn3MKEMzIapjW-cckLQqSE,15,N5hzgznewnbLmU9n4y9pcqWZXnKX1BYLTcpNrqM4Qd1UM8O44X4wrICwBA,350,142,895,-1,-1,429,v01m1fX6eoVqd3xVtks0_Zf9uKrln_jMmlqC3HTP5rmuch1YuvH04TC7Ow,164,z9WNO0liaXo6EbrXfhlIbJnAShc-PkfX-_N5IghGqIScJ6k,120,fy-jcZhVzp_rQPnPkxJhfvbrXduNzfksILADmiBuUmzCKM8,103,yDdetEvEwhvbFXmtKCXz3E-W9FVaPCdjM_IeJqbmlv50B9E,523,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,12,163,119,517,421,-1,RED,30,29,BLUE,2,2,RED,0,2,BLUE,7,5,BLUE,1,0,BLUE,1,0,BLUE
KR_6051824996,eTRhu2QE3-KbaaO6q_McE2N4ApWbkxBc8YB4R5HxfQsngK4,85,agy7tVJmthI4QFrgcC_GjBbhdd0juuBeCIIRwH-sS0AM1ek,102,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,163,GY1ggO5xpsX9bPkqiK2E02PChgn3MKEMzIapjW-cckLQqSE,119,3ZElBGWVpEgKtv1H-btNlBLItaaF2dC3PLGSOnJhz0cn8QI,875,895,91,-1,-1,-1,VSiETXVISfw3yR-zzwVQ3aIMda3d5lRcseKb1te8RHloxlQ,58,qCiX6yT_uwnyRhB44OVhX9b26aPN9dPQu_-YuahUnzGE5i4,254,fy-jcZhVzp_rQPnPkxJhfvbrXduNzfksILADmiBuUmzCKM8,50,ZwyYC9lTBiIIbzkLtfE3gMLbwr_9EcTM-QE9e5v7LPyh_oRr-ako3E5PDg,15,LvDuDQTaQIqt_qzhRVkgrmys32d07_imnvrYhTlmiP-XJ8DqbDqH2LF-Jg,111,888,-1,68,267,55,RED,14,37,BLUE,1,2,RED,0,2,RED,2,10,RED,0,1,RED,0,2,RED
KR_6051543937,m0shJg17q9Pa0SdiQDE3ZycbijHwTVxkE7oEjeGwYkITJi0,64,kfSG0Rir9m8FtcaghNEwSzOImUosfP4ThiNKBv7RmhK9GVA,876,3t4iKL1G2RW558VMWqCSs_FXceYbdQOClhZiZwkHskC-dxjSzniDGDoMKw,246,UFzU8OzdnnBi32vG5xFAsP1vj1BEiraz7xkSP3qUdREYxgg,119,SZwMFG5WKK9d10xZnHacaEZYf9ISHJZasa6EWXOg5uRyJKLPirUo1ZdVGw,32,517,142,163,221,7,FIARgwmHlatM4_iqTHpp41jxe7oVPRd1gpwDkEiPRvaQYrQ,3,CErfHqfx2hr_bqRNoHJoIK_MGLni12__-B-hFjO0tUuJC-U,59,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,42,MDqGtPmXx3f2LMeKFTuWuI53bD4usXQCxyua869BLnh8WxZGcqdGHXDKyA,360,jaGm53bwE3u8FIwghvjhfGsYZDMYiMXlGCpcFgcPbN7Nsjekydowsb-3oQ,111,895,24,429,15,-1,BLUE,22,41,RED,0,2,BLUE,2,0,RED,3,6,RED,0,1,NONE,0,0,RED
KR_6050786159,aFwzyFYDcqUvZje-bKywj8NPVlMxGj-MfCahYynTXvYVysQ,85,519dlC94J-Az33Qy81_fD78aIJE1XGXdFSbofZG3k4HcLkEE--rJEUYl4Q,104,atdbq_fSK5jSzvjl3HAbGFQq56ggFBsBi36zDncLOlgRWt5B_ZCGIbcvUg,223,MPICK78LwwK3BBW0mkGbn11-IJQiLYkPimXH2c5xufj2ccE,235,zhIKvtHTZQHw6cBPWccZB-RyLrtvB6Me-zHJu3BXltIj0UYtYbGsmYLzvw,3,234,350,119,80,15,J0ySfQJalchSQwsygaduZf9FNntvRr_C7g1ggdzClMo2WbGDcgv-1TCE9Q,777,EV23s0Fe5ptC8cyk1148besP5YnAtguSS9golPxZRwvwEyo,163,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,23,Z6az42qDj-IluhYlKwLE_ZFEVjunqus0Mj1h-t4NnQi_WadKO8IyJEqVBA,221,laSmXoEsjZK-4Y8PVywOhnkx3afrlpknp_fBVXrUlBY4ag,497,111,24,78,119,895,BLUE,28,5,BLUE,2,0,BLUE,2,0,BLUE,9,2,BLUE,1,0,BLUE,1,0,BLUE
KR_6046097557,B_zxwxloXBeRVdwKjg7vpKSsKQ50sRpWi7hmb3UoeVObAfYqtNaGWRHP_Q,68,58rNZ1VXjCRUbYTyCf5XtT1flGedIjDGeoBJULNh2UbTuAM,64,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,268,UtdPj88SYzp0xyOOKIKMfXFnVPZI_PswrtMVGwAaA1Psl6ep,235,hiUrv0qKMviKL4e70ys7CiL7N4U4ZRj_NGHpsb7OeDtIZ40,157,888,78,429,895,887,nl7_7bmBEts7QiGDjfmUKBy3Ha8z4ukNYgUir05EufXIkANYDANR_5m7YQ,114,MYFdZtxnDvaU3by5xw6TLSmaIUbcsmX-UX-e9tKbUIOGvCzKaQRQSnGUTQ,203,IxZP4Ael0N6XJxlgz9uSvGWXTTw_s8mjT5vbhzFWKq7gFdY,163,D5CJkZLrQ0LcDpAbDKAPR-cAi1kPXdHmZfaZDKdQPfWFcrZT6my4vyDzyA,777,MPICK78LwwK3BBW0mkGbn11-IJQiLYkPimXH2c5xufj2ccE,22,-1,236,429,85,-1,BLUE,38,22,RED,3,2,RED,1,1,RED,8,6,BLUE,1,1,RED,1,1,BLUE
KR_6046112152,ikzG846eDWlVUWrNqsguEW-vlfspmUIlLy-_3EyMwhbiYA,268,MYFdZtxnDvaU3by5xw6TLSmaIUbcsmX-UX-e9tKbUIOGvCzKaQRQSnGUTQ,203,aWidBVCzTkjdeRk-Am68IhSgtOFms3Lg3zIV1OEcpF2fDnb8psa6paaifA,13,fDXTqkyFoNC_Hshb--SYPz1cNUf5UGsdr-vVLSwlETV9zbI,221,lcjVcmKjgpAc3GRLY701X_mDF9Cj-yJuc-8plhIhNfIo2qNp,497,163,429,-1,119,157,JOM4Cmz3ZYknz7_cIFL3k_DMcZSwfZ2lFoGuZuSPQkop7l8,24,NP4EoogQrBcRYr1mT0FEQHW2DiWZ-xjFRyRxoAW-1bRhcRU,76,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,777,G2AfNpuukojd_I6gKHuWX-1oT1YnJU0o5IzJfZ-iLvAnQmpG6JLdXX3JPg,15,3ZElBGWVpEgKtv1H-btNlBLItaaF2dC3PLGSOnJhz0cn8QI,555,-1,41,429,234,895,RED,42,31,RED,2,2,BLUE,2,0,BLUE,10,3,BLUE,2,0,BLUE,2,0,BLUE
KR_6045839127,VSiETXVISfw3yR-zzwVQ3aIMda3d5lRcseKb1te8RHloxlQ,887,yP_Rjqugid5PCisbPwyL0LpzUQxO1J03REJMbr1yXI10nAA,234,7GpdBjnXPFGWLzA1Ml0UspG7cwH0acsxIq7Kl_Xzfx_G_2s4ehBepqopQw,39,D5CJkZLrQ0LcDpAbDKAPR-cAi1kPXdHmZfaZDKdQPfWFcrZT6my4vyDzyA,157,N5hzgznewnbLmU9n4y9pcqWZXnKX1BYLTcpNrqM4Qd1UM8O44X4wrICwBA,12,7,429,92,64,236,5A4WJpFsCzkRoVDHzNAVO6bre5LRlLSlu5bDjX2oBOs9qKE,114,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,62,Uo7ksTd3rLgumhAksDlB7YdL1gYmMZmZ_Q1Ox0K_XZdilHs,711,Z6az42qDj-IluhYlKwLE_ZFEVjunqus0Mj1h-t4NnQi_WadKO8IyJEqVBA,15,5J2LWNnIOV8G88UkIK5CjHkU7vLinZVTH4GG20ZQUBbCNMubR6zYfvgENw,32,119,517,-1,555,895,RED,24,27,RED,2,2,BLUE,2,0,BLUE,6,7,RED,0,1,BLUE,2,1,RED
KR_6045650918,C8JeB0UVt7XBWdBC1EsTOMUecwXQ7M2s3aT8BiB6GCyoE4E,114,JbEsBA59LcgurvUAultks7DN_wwtJHyFg8__jkeRjpF7k1ZOMGk_ScKMGw,234,p8osIj-y0iNG0IxHOVMYtsWNuQbdxN8e3VBQM9p7iLfJwiU,55,GY1ggO5xpsX9bPkqiK2E02PChgn3MKEMzIapjW-cckLQqSE,523,ixMvs8yY9SwDaXylTEOgh7cd1cfOU_p1qZIlx5qjdXDAsfKRfwvFUSgksg,201,888,350,895,429,268,LvDuDQTaQIqt_qzhRVkgrmys32d07_imnvrYhTlmiP-XJ8DqbDqH2LF-Jg,887,EN6RHq8oBTF13SOMiS3mi9Qa6DWb1T0iYQp0VWKkY6kS5wVQkMLTHOACrQ,91,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,13,OCUA36NSX16OfH627ZGdtfbuFwo3KE14MuIUFyO0uKKmJNEXpY-iv8DCZw,119,aoMAfZQT_b4_cSxH_xbcMBCqOpbxAVzEBc5knmz734VMqiQ,32,-1,107,78,895,111,BLUE,40,25,RED,0,3,BLUE,2,0,BLUE,10,3,BLUE,2,0,BLUE,2,0,BLUE
KR_6044437635,mt4bzn9YWU2CFdrhzBjBDeaRPtRhU84I-ymlKSpakgj8LWW-KU0WEKAhlQ,8,TAwON5d2CVH7-8IGb5WVOTGWahBzh8BLXHwg_S-JoYVYdZU,254,cP8ymPCG1609454aG_hCu1rt3h0cIKFfSvF-rEUS4nxfqfNn-lheHgugPQ,103,RieH86qyXff_4BtYnSh4r0Qzen-UqO-0cgyhzrVUEWDgmPQ,110,RNes9apiHhkv-PWJe1lmhbGH5MCwqQaad24lc6-K5DtDYUs,497,55,39,76,163,119,eTRhu2QE3-KbaaO6q_McE2N4ApWbkxBc8YB4R5HxfQsngK4,517,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,64,0NcNkChIAYny5ml1-6BihFGi4m4jhbFW4CHE1a7uSKxzF8w,555,EN6RHq8oBTF13SOMiS3mi9Qa6DWb1T0iYQp0VWKkY6kS5wVQkMLTHOACrQ,221,XzyZ_GEOIt6leHqXez4gSq2gnnN5UMPBPZLVkmYyTfSFxKY,350,7,-1,78,895,119,RED,27,11,BLUE,2,0,BLUE,2,0,BLUE,6,0,BLUE,1,0,NONE,0,0,BLUE
KR_6044355911,MJFBGyMPyeLlZerWHitdHUrEBWvr95TaQ2XvzPO85wbvX8g,24,Smal497bR-1yPYJ9oOUET41XCLTASy3VEJYK3FnrGhxPYFTPpr_B4Vq3HA,64,jsLn-j7pX-VajGXxY03dzRyRU4puN1UGSUijnl2DUDWgSOU,7,rGFBmh_2Ts__87i8ry25mrdCR7EbA93314KXgjNGlLQgO84gE_bfvhFrog,30,RNes9apiHhkv-PWJe1lmhbGH5MCwqQaad24lc6-K5DtDYUs,32,163,-1,555,-1,429,B-UrhYmTObryfKPS8hqa0oTah_krBH13rWCpK7PscASJS5x3R8T0ZEoxpg,102,ttnCjCIvTS0JvMFKIv51D805JOBDToj4Uud2TKthPByDMqJwgwQNAZ1YtQ,427,cTfhhY3u5vrB4LTFhUaJgVggwi1IKy14mnQRaL4lYT-SBQ,777,30kOn3FDl5ZGBVple5TArkVrO9QBalACgeRkYFoVfjzBnVs,119,mQ46ImO-XeTQZ9QWih9LSbpid84l1H4_oQZ3M3Q4xPvgBaNTYXCtzK0Q5Q,201,895,350,-1,221,517,BLUE,35,21,RED,3,2,RED,0,2,RED,10,4,RED,1,1,BLUE,2,0,BLUE
