BTOP_CHAMP_MAST,BJGL_CHAMP_MAST,BMID_CHAMP_MAST,BBOT_CHAMP_MAST,BSUP_CHAMP_MAST,RTOP_CHAMP_MAST,RJGL_CHAMP_MAST,RMID_CHAMP_MAST,RBOT_CHAMP_MAST,RSUP_CHAMP_MAST
46397,387356,135748,102169,266708,707714,43375,16727,134518,919414
1161674,35904,654979,3998,247984,551271,48145,735792,102169,67304
156915,48145,111733,177752,46577,27298,285117,5336,136596,654979
82980,43375,315491,167949,41931,10929,12813,919414,105808,48602
462466,43375,40043,758251,240933,654979,2669483,62243,39954,397205
539908,816287,6662,14975,307785,2277647,1005957,76599,56195,331035
356572,2012,118384,40236,172975,75298,43375,7472,10116,62427
77082,84683,76599,37349,81892,1313665,48145,42423,422126,12068
400760,79532,10036,9042,81892,25741,45239,234088,71635,20856
57325,35499,414190,25129,128642,2072,816287,49651,20351,94871
1963663,43375,12837,167315,12697,51247,169454,398463,62985,521203
1340722,14116,8260,3360885,34123,75309,48145,29284,418175,26338
81679,43375,11234,4237,919414,30724,199532,164941,56909,6696
414647,17935,110189,29521,81892,1455731,123850,20624,7462,217229
52344,418111,160662,105344,294104,135357,70981,3501,55848,934355
116578,37615,80254,13273,593462,18142,48145,155756,114810,33799
47755,25669,32665,101318,613981,1903132,231943,60164,35388,2956
176310,552392,7351185,664074,199510,1965607,48145,136596,95524,2956
89243,45623,43375,664074,444586,19540,47378,71169,89585,36390
491516,43375,349744,11807,54473,117745,12632,14651,73219,81892
12921,185827,689293,94099,224024,372557,26447,15166,433441,34623
74610,169454,2023932,76342,17808,392936,962871,98404,31038,118053
1056496,27504,29513,47965,102972,12921,41140,2023932,54787,819037
22457,75893,2023932,24902,25229,174421,33737,118756,87316,819037
12921,262802,34964,3317,1673210,170194,2698,295506,136498,499859
74610,23769,119565,140777,42077,178035,53846,158066,1159008,47047
27180,84683,40732,32931,3910,75309,144351,19395,56843,88036
244749,10218,3894027,88514,279308,610281,185827,144686,35091,42808
610281,185827,144562,68041,63439,182545,11688,244749,29232,13477
5892,1281105,3360251,103983,348565,174421,17064,11524,173387,1342662
74610,281632,2999843,403522,238804,2396010,2273,962871,15141,9931
173512,149956,127727,180932,28279,103930,42510,573374,187481,141647
91770,12734,19393,77139,547204,75309,29484,117962,4985,841034
173512,126912,331213,152607,2125,59302,118384,147282,30074,1011169
244749,241630,4921,275095,613981,1340722,16846,103962,7353,6295
77522,62997,61348,4961,1690,47755,1229808,124971,108867,104454
665445,33737,111595,10597,53235,77522,2669483,29513,40236,1342662
49873,955586,99839,18117,46577,156915,8643,223752,40236,51700
12921,10225,1744031,10597,98618,9155,143075,252123,40712,343
68149,18111,157162,48735,1744031,13365,53789,75298,1078747,43701
338794,47919,146227,50262,1342510,16349,1423091,174003,631451,40908
121788,45732,182353,71964,44842,33104,333585,331856,1625,1286759
1511838,33737,15684,36440,191313,665445,10502,88030,216072,819037
49372,705226,95711,9302,118053,114292,185827,75298,257988,3001
380630,133688,254923,60934,21444,71076,2671,146227,233841,44545
138519,41491,5393,15711,37798,25163,14053,422126,233841,526651
821457,48878,3956,27986,129619,5706,27450,5393,14729,118053
46571,4222,962871,418175,1673210,717075,66658,31221,147644,100885
59554,705226,4799,131321,1985368,92341,363818,254923,45732,127199
13532,135274,112162,8668,81892,2509,83288,75298,386109,100076
22106,98042,97394,56203,279308,697691,46090,89250,14575,613981
77143,22709,74488,421534,30271,34918,113150,146227,418175,7768
97332,114857,13438,110905,663416,278209,94830,26443,89250,81187
3894027,25615,131882,15827,20531,97332,1048,146227,275276,613981
