BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS
228,156,1068,312,254,1001,684,619,1224,18,15,19,407,372,888,962,916,775,432,375,1111,284.0,219.0,1146.0,216,168,1039,177,106,1303
373,340,709,589,538,1112,263,209,1092,721,645,1272,423,387,844,558,520,857,432,375,1111,190.0,172.0,1013.0,18,15,19,640,576,1204
194,149,837,432,375,1111,439,386,1046,136,107,1055,423,387,844,124,74,933,333,273,1008,97.0,82.0,763.0,218,189,658,263,209,1092
440,408,736,432,375,1111,10,4,100,660,624,728,406,376,824,299,253,701,261,218,742,177.0,106.0,1303.0,186,162,721,695,646,677
299,253,701,432,375,1111,259,240,553,375,350,621,406,376,824,263,209,1092,386,348,866,582.0,533.0,679.0,711,685,491,411,383,638
274,221,1213,432,375,1111,232,178,1044,667,619,918,250,202,779,298,242,929,1129,1094,684,192.0,157.0,685.0,686,619,1255,467,356,1691
451,415,883,37,23,168,93,47,677,136,107,1055,406,376,824,721,646,1256,432,375,1111,192.0,157.0,685.0,555,489,1276,113,98,684
18,16,59,573,535,739,192,157,685,721,645,1272,154,127,387,625,578,858,432,375,1111,344.0,319.0,486.0,147,104,727,167,153,708
87,74,50,432,375,1111,139,134,424,42,28,202,154,127,387,389,379,668,101,76,1057,397.0,366.0,570.0,475,435,797,159,149,419
331,277,940,465,409,1051,305,243,1339,277,214,1058,393,343,1032,158,115,947,432,375,1111,441.0,377.0,1067.0,42,34,75,467,356,1691
6,4,75,432,375,1111,288,252,860,274,238,752,30,23,67,352,307,957,179,125,968,508.0,464.0,803.0,340,256,1462,206,161,865
300,245,1164,278,234,935,158,115,947,650,588,951,20,10,28,401,353,1036,432,375,1111,508.0,464.0,803.0,544,495,1187,396,347,1009
46,30,21,432,375,1111,465,409,1051,452,386,1094,177,106,1303,558,520,857,178,150,1029,760.0,647.0,1464.0,347,275,1236,359,336,411
582,545,596,160,117,855,826,793,829,115,69,656,154,127,387,277,245,621,432,375,1111,222.0,198.0,494.0,16,8,62,881,849,749
304,275,654,269,223,1044,285,262,526,42,34,75,881,848,765,593,537,1033,432,375,1111,115.0,69.0,656.0,549,524,495,30,27,1
356,312,462,304,251,739,413,373,998,269,215,687,328,282,924,127,85,541,432,375,1111,217.0,189.0,1066.0,314,295,697,53,47,75
396,347,1009,248,196,1130,365,310,969,91,64,740,530,489,941,253,213,696,432,375,1111,8.0,2.0,55.0,357,278,1428,362,313,898
331,289,886,5,9,61,799,788,521,18,15,19,273,262,667,6,4,75,432,375,1111,218.0,189.0,658.0,146,111,829,362,313,898
166,119,767,410,342,1009,432,375,1111,18,15,19,220,184,815,134,110,860,5,9,61,145.0,110.0,658.0,20,1,57,480,397,1457
409,376,262,432,375,1111,625,578,858,319,287,804,452,413,527,128,73,504,148,108,682,147.0,104.0,727.0,12,10,100,154,127,387
401,353,1036,196,149,739,35,40,75,115,100,712,439,412,584,218,174,886,70,44,234,224.0,199.0,740.0,801,774,632,20,26,50
401,353,1036,179,125,968,448,399,856,525,465,1001,1011,973,696,218,174,886,31,38,78,760.0,647.0,1464.0,517,486,748,530,489,941
660,618,892,341,304,842,365,310,969,546,499,1011,205,159,958,401,353,1036,575,538,874,448.0,399.0,856.0,423,384,830,483,431,1013
202,163,668,400,333,937,448,399,856,344,286,1066,30,23,67,401,353,1036,575,538,874,101.0,76.0,1057.0,423,384,830,483,431,1013
401,353,1036,418,381,666,111,72,347,146,114,519,807,770,1008,252,231,476,93,47,677,339.0,295.0,810.0,517,486,748,14,2,75
401,353,1036,304,273,685,456,413,909,535,517,608,165,129,754,593,537,1033,335,271,1007,425.0,386.0,895.0,314,295,697,163,135,639
46,30,21,573,535,739,209,170,301,19,23,3,119,90,709,401,353,1036,570,513,1169,342.0,307.0,688.0,176,160,412,327,274,675
401,353,1036,240,177,1205,254,217,803,198,149,824,497,456,893,274,221,1213,196,150,723,425.0,386.0,895.0,217,189,1066,119,91,694
274,221,1213,196,149,739,425,386,895,198,149,824,497,456,893,289,240,992,195,143,947,401.0,353.0,1036.0,30,23,67,119,91,694
240,177,1205,13,7,75,650,588,951,414,361,1079,235,195,836,401,353,1036,427,374,931,441.0,377.0,1067.0,452,412,932,612,549,1192
401,353,1036,204,178,674,20,26,50,471,456,466,552,498,1074,330,294,713,191,184,698,357.0,317.0,638.0,711,685,491,414,398,942
401,353,1036,106,95,380,436,412,560,660,624,728,74,62,407,389,379,668,583,529,510,7.0,6.0,75.0,772,742,729,151,114,715
24,5,53,315,271,918,616,559,939,544,510,764,19,6,75,401,353,1036,249,222,898,543.0,501.0,726.0,146,88,948,221,223,767
401,353,1036,84,74,82,7,5,68,711,685,491,190,155,194,75,29,280,93,47,677,11.0,2.0,1.0,418,372,883,552,499,1057
401,353,1036,589,538,1112,278,234,935,23,23,41,530,489,941,300,245,1164,122,86,859,320.0,253.0,940.0,134,110,860,133,107,1007
401,353,1036,508,464,803,165,129,754,111,72,414,249,217,476,396,347,1009,313,308,465,414.0,398.0,942.0,299,268,508,317,294,493
962,916,775,575,538,874,672,632,846,642,567,1422,472,429,884,401,353,1036,386,348,866,365.0,310.0,969.0,136,107,1055,612,549,1192
401,353,1036,374,332,968,33,44,57,269,215,687,423,387,844,194,149,837,11,10,100,188.0,135.0,511.0,136,107,1055,324,292,632
401,353,1036,151,97,1019,563,503,1025,642,567,1422,480,397,1457,13,4,66,511,447,926,16.0,4.0,57.0,555,489,1276,146,88,948
41,37,80,149,117,1100,97,64,100,229,206,534,563,503,1025,46,30,21,370,309,1130,721.0,646.0,1256.0,421,397,125,409,392,503
228,156,1068,310,268,859,721,645,1272,159,109,823,612,549,1192,13,4,66,218,180,759,686.0,619.0,1255.0,227,162,1221,407,372,888
58,29,90,721,645,1272,344,319,486,21,20,9,300,294,515,197,145,1075,58,58,33,394.0,359.0,860.0,18,16,59,37,37,47
385,334,798,575,538,874,397,351,959,344,286,1066,301,266,755,962,916,775,61,43,543,721.0,646.0,1256.0,23,23,41,483,431,1013
962,916,775,762,731,907,259,224,745,186,148,862,530,489,941,506,471,720,196,150,723,721.0,646.0,1256.0,26,11,75,178,127,871
131,82,739,541,485,912,684,619,1224,744,678,1315,34,34,28,237,183,1011,147,114,978,721.0,646.0,1256.0,1089,1035,1008,414,398,942
8,10,11,320,276,891,721,645,1272,265,240,586,19,17,61,110,59,1057,330,304,604,147.0,104.0,727.0,1089,1035,1008,226,178,1007
418,381,886,335,271,1007,160,117,855,546,499,1011,552,498,1074,166,119,767,265,209,1152,721.0,646.0,1256.0,298,249,939,530,489,941
649,602,810,441,376,1083,31,38,78,544,495,1187,807,770,1008,261,186,1367,357,326,620,721.0,646.0,1256.0,144,122,645,695,646,677
281,227,941,762,731,907,277,273,749,20,10,28,413,369,926,220,181,729,2,3,11,686.0,619.0,1255.0,721,646,1256,159,149,419
131,82,739,541,485,912,616,559,939,452,386,1094,154,127,387,428,381,617,108,79,529,721.0,646.0,1256.0,544,510,764,881,849,749
498,463,795,236,177,1107,299,270,702,452,386,1094,497,456,893,297,248,1232,541,485,912,721.0,646.0,1256.0,146,111,829,530,489,941
156,129,1086,194,149,447,357,278,1428,153,104,458,138,115,1108,289,240,992,762,732,890,721.0,646.0,1256.0,544,495,1187,6,5,32
