BTOP_CHAMP_MAST,BJGL_CHAMP_MAST,BMID_CHAMP_MAST,BBOT_CHAMP_MAST,BSUP_CHAMP_MAST,RTOP_CHAMP_MAST,RJGL_CHAMP_MAST,RMID_CHAMP_MAST,RBOT_CHAMP_MAST,RSUP_CHAMP_MAST
6919,57809,87478,48208,1931,14517,41466,38198,6319,14430
235664,70503,85602,42734,34418,1559495,20122,249803,317881,55241
27958,19517,10032,76675,205939,199381,16312,66103,77548,182881
8310,4802,72337,352103,40156,1713163,38277,205939,42859,39987
7703,40831,59683,60969,47285,821404,2228525,205939,7932,54456
1845,2234,55981,14886,89585,179427,4890,156417,89679,32800
2926,39189,338216,32175,103554,77919,453573,38090,262350,54556
126705,32350,214054,59072,17545,14182,105681,529558,16730,50340
68124,24074,6565,120375,50340,19445,2558167,67884,180704,26523
143105,5699,143421,117750,236544,188820,6635,6952,15781,51735
203949,48423,45749,26757,32207,110366,8051,49117,13590,77728
293858,62853,29916,44783,17972,40338,75726,17735,17308,119388
311557,635930,245124,119182,951405,393192,123524,12608,21867,21815
1559362,123524,3355,47928,30525,126705,164109,69891,8228,394290
26814,101330,276261,122374,35276,105155,7967,20504,7768,16443
23071,18246,1385673,584218,1030,98780,18013,213071,34812,3540
169953,39883,22170,265914,22227,224065,157694,529558,65285,8709
99083,11878,183508,74759,4989,22792,1089,69891,57561,1269
42859,17073,184166,19661,33599,48924,153,529558,60969,1353
82539,75726,1713163,405949,119873,44066,453402,245124,81782,11008
76675,8809,35853,186841,60490,679042,139466,2228525,8436,75396
65624,4890,77100,186841,119873,199381,10278,80271,63832,47470
61141,10813,22350,119964,2987,32092,453402,15021,182315,73002
266103,7924,35296,14533,62556,162639,101217,2361094,47928,73002
2164114,3464,41804,954285,1138282,162639,1904,14136,50130,225138
345253,9628,49564,51507,21028,57346,65632,18856,182315,88733
1182525,9839,18174,47928,28394,185601,231091,16792,291902,76225
14076,2558167,55384,40111,27677,15912,21542,105548,63832,30530
4071,43495,311557,54499,40156,2298512,21542,1167,363951,37963
100414,29447,23069,48208,258744,19655,29803,58940,186841,33423
11962,17774,57998,74012,46154,184166,591292,47341,186841,3226
71718,2835,619930,3811,267092,15584,203065,247434,3300,175966
58192,201974,133102,7932,26136,18081,635930,110726,182315,229182
64352,16312,23069,182315,8794,57560,1531,223567,269019,91815
311557,23345,565151,625752,225138,2164114,47933,315276,954285,77003
126705,50940,55384,10479,102825,42356,167074,133102,954285,50340
162787,10278,102228,432996,64453,99373,20011,529558,317881,47470
358709,6635,21981,1503,380262,14141,5079,276261,954285,208687
821404,47933,46435,34647,346353,49226,3974,6506,186841,64453
140322,13528,25645,671825,97111,34954,32043,360807,89327,19389
29353,59788,44147,625752,104435,130744,4122,9108,101633,49709
79525,875,41617,203949,41291,4657,21089,9120,790,76225
2847132,12690,61850,14113,39152,2164114,21089,337392,119964,1058
57906,619784,1007128,245249,34673,1336965,61087,32940,3836,39152
7654,920891,8352,39593,44210,81034,68581,139586,81008,42390
8352,1463,5410,525540,58165,59994,119563,108781,59353,1281
10100,2228,18433,27592,10032,8018,197608,56799,30776,4155
2650,55820,80688,352103,7918,27573,7384,110726,17359,41099
53347,123524,167864,205276,103554,34954,4802,191658,17642,20583
5022,29961,6923,8384,62213,17462,100038,661863,13066,109484
29353,30432,661863,9477,93622,26277,22882,112738,85607,100759
56728,91756,40419,947,1178,7777,453573,144948,12479,56155
