BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS
743,641,1464,138,104,691,448,410,733,444,373,1294,473,422,893,425,359,1086,575,518,947,465.0,414.0,942.0,117.0,66.0,709.0,565.0,473.0,1103.0
751,697,773,581,528,919,465,414,942,724,660,1073,360,277,1018,415,339,1196,711,677,525,303.0,269.0,698.0,544.0,466.0,966.0,392.0,336.0,673.0
455,405,1016,280,226,1031,783,721,1121,403,344,1038,465,414,942,577,531,901,386,332,1071,662.0,590.0,1059.0,506.0,457.0,721.0,538.0,482.0,1234.0
200,135,1154,668,587,1140,772,708,1076,796,737,1013,381,325,1030,20,18,100,744,641,1481,465.0,414.0,942.0,615.0,539.0,1038.0,559.0,486.0,1069.0
668,606,1166,505,453,991,533,477,1023,663,607,891,4,2,28,512,457,815,10,5,75,465.0,414.0,942.0,204.0,143.0,754.0,259.0,235.0,624.0
340,267,1305,277,213,1169,293,238,1018,796,737,1013,667,606,990,575,499,1442,575,518,947,337.0,285.0,977.0,362.0,302.0,1120.0,465.0,414.0,942.0
245,200,875,844,778,734,358,317,735,10,1,12,473,422,893,97,60,636,280,226,1031,465.0,414.0,942.0,164.0,128.0,559.0,144.0,111.0,237.0
627,580,867,291,230,842,465,414,942,575,536,653,259,235,624,19,8,87,109,91,419,473.0,363.0,620.0,104.0,79.0,534.0,806.0,765.0,653.0
365,315,826,242,180,1105,180,103,1316,812,747,1139,806,765,653,355,278,766,431,376,1083,660.0,586.0,1263.0,284.0,232.0,691.0,465.0,414.0,942.0
715,659,1003,444,373,1294,465,414,942,812,747,1139,504,450,873,252,183,1140,269,196,816,660.0,586.0,1263.0,516.0,466.0,747.0,1072.0,1013.0,988.0
536,475,954,419,358,704,112,75,666,806,743,1102,892,819,985,48,26,152,159,134,817,465.0,414.0,942.0,668.0,587.0,1140.0,664.0,637.0,540.0
403,344,1038,235,182,973,598,511,968,538,482,1234,667,606,990,3,3,68,280,226,1031,465.0,414.0,942.0,294.0,241.0,1096.0,323.0,260.0,981.0
409,388,636,463,387,1222,465,414,942,720,668,776,184,128,1148,194,130,1048,687,634,885,236.0,169.0,1061.0,165.0,96.0,1337.0,538.0,482.0,1234.0
415,339,1196,687,634,885,360,277,1018,483,434,895,565,473,1103,627,580,867,233,177,994,465.0,414.0,942.0,831.0,769.0,901.0,504.0,450.0,873.0
