BTOP_CHAMP_MAST,BJGL_CHAMP_MAST,BMID_CHAMP_MAST,BBOT_CHAMP_MAST,BSUP_CHAMP_MAST,RTOP_CHAMP_MAST,RJGL_CHAMP_MAST,RMID_CHAMP_MAST,RBOT_CHAMP_MAST,RSUP_CHAMP_MAST
24775,2414,9967,54102,429503,1658054,15682,143237,83,25745
187696,11695,143237,54102,169710,18405,869400,20193,201021,14692
75754,29543,24789,2018,4643,1003564,7139,149442,20536,32735
676942,26248,966580,100651,199,596227,1121660,45616,23540,541359
12820,218760,301346,26261,27904,64034,1121660,38006,54102,178676
100458,36490,433272,35380,142421,32292,234927,69015,5859,101075
267752,338630,7846,35380,4487,892941,56277,140720,29674,110847
267752,338630,38857,10568,73813,1955369,720693,192962,54102,110847
47617,720693,5051,157116,108871,267752,3068,131852,5409,12351
35486,20875,811633,18499,48133,809226,45425,42963,737585,7111
136483,146314,315548,1405,70639,6783,235,811633,1291,383267
322884,4356,34490,54113,33445,40316,9526,331107,12468,71522
180308,790321,372353,5409,1363668,232476,7069,2855022,30500,31700
322884,1242339,42727,270839,1883984,895246,16230,132535,54102,725102
170027,32935,846,7643,342198,121829,27396,6762,13146,191506
557,1014480,157086,35380,4377,1554550,3864577,3356,54102,46941
56185,28362,272680,54102,49153,219767,7572,7011,62469,51041
9120,13509,192504,116816,210537,295681,26057,84410,302284,66223
28286,36164,22324,73923,565961,1821627,35077,196320,629237,185201
32292,34305,331107,346802,34570,376387,13807,207801,111205,464085
54043,177679,70376,25545,358031,66349,132449,118634,118712,55744
6258,372648,4453758,302284,358031,87440,128574,13781,34270,26181
185422,35958,220623,302284,9660,7272,254289,207801,44960,288
35725,254289,192504,302284,75921,1022821,232890,105950,52685,4264
934210,76814,766798,641729,288631,98502,21485,46523,302284,30157
83868,4672,2984,302284,33727,816262,9586,38006,18378,144738
815333,517641,245216,4053,1790951,43770,8698,403660,302284,140005
145811,87828,11936,302284,200785,125619,10359,184166,422467,39915
117558,131747,12635,127877,86054,48120,94649,34204,201689,1440
46826,8352,2532239,302284,273931,33148,21834,3087351,164762,78157
407535,1121660,21411,302284,133413,265,46967,18260,168555,364
274535,2532239,794101,72609,264552,150696,7348,10455,64749,50627
149320,8722,50564,405196,10942,326832,1546098,49022,201689,4550
833479,2935,33864,302284,50627,84683,76635,443175,46659,55097
14733,191834,124550,302284,524085,1554550,7923,4365,587779,94032
3292,54896,239120,302284,185394,118783,16198,1121660,260806,400951
82344,47833,2991652,66491,527607,346031,51286,444107,35435,273805
959680,74601,296217,120811,335632,23326,177679,262382,91649,165848
198671,37528,99338,201689,13083,32292,5715,48472,59301,530376
79740,236032,102108,16020,40956,157480,1243328,81912,233171,34381
257336,11297,62102,11689,20400,281997,574456,103397,253888,6128
277976,13553,104633,52011,336236,376387,49359,7002,183,17721
351029,27183,17701,105338,264552,60513,865,573749,51544,213468
9827,865,22026,519744,10960,593103,368257,81083,24615,73386
9429,26165,1603106,51544,264552,24877,11297,689380,25942,109792
21626,5806,70355,231135,921295,63205,2327,164421,49973,15142
13789,271810,104474,17446,1119461,758728,20239,19320,17665,199582
205004,43170,106583,12303,84543,25321,12659,2290124,180416,50986
313926,54508,313327,122017,140005,271679,11297,208589,100595,9708
1018830,17654,8893,2087,10956,376387,11261,33286,63483,103529
94204,32204,231135,16737,241016,1173664,173776,1285037,231570,34944
74436,63961,293245,48938,155775,281970,32641,8131,361360,238521
330766,72593,12635,61638,911473,120267,11261,11902,40621,66158
333820,40066,3227,4801,25376,875,70196,106005,89220,18554
674618,369056,84462,26321,34860,8356,377327,54331,135,164766
27714,18447,64908,36350,364481,111228,2028,3657,16566,317917
2431,47852,28754,19002,78122,192701,53152,1850118,276023,593947
1653835,8399,177380,115043,98865,6928,21556,89736,232123,3102
220889,1048180,355969,17165,49138,13283,74796,453087,115535,204987
238237,307529,24369,110704,51188,29823,572507,207801,51520,484
14969,16103,20006,129653,264552,153925,26399,154316,230225,3044
82550,171077,1573543,49982,55647,150696,1806,24545,3177,28031
30843,1177341,159768,24645,601819,964182,3006,11481,3376,72466
82550,51314,22461,56054,46401,1188436,78446,159768,3376,26350
