BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS
371.0,360.0,419.0,158.0,132.0,633.0,12.0,19.0,7.0,813.0,771.0,562.0,454.0,424.0,438.0,10.0,7.0,42.0,60.0,48.0,1.0,500.0,449.0,684.0,103.0,93.0,327.0,19.0,16.0,24.0
32.0,40.0,100.0,54.0,35.0,75.0,500.0,449.0,684.0,813.0,771.0,562.0,15.0,8.0,61.0,457.0,430.0,544.0,119.0,98.0,490.0,226.0,186.0,382.0,789.0,771.0,691.0,69.0,39.0,257.0
217.0,192.0,833.0,32.0,13.0,88.0,813.0,771.0,562.0,115.0,76.0,1034.0,161.0,112.0,1189.0,672.0,643.0,836.0,511.0,481.0,752.0,537.0,473.0,1506.0,79.0,50.0,16.0,142.0,90.0,696.0
327.0,306.0,442.0,17.0,14.0,100.0,25.0,13.0,100.0,326.0,312.0,450.0,176.0,159.0,552.0,892.0,876.0,374.0,489.0,455.0,814.0,42.0,13.0,40.0,813.0,771.0,562.0,25.0,28.0,12.0
767.0,733.0,580.0,82.0,64.0,209.0,941.0,925.0,312.0,176.0,159.0,552.0,8.0,9.0,39.0,892.0,876.0,374.0,489.0,455.0,814.0,676.0,650.0,616.0,813.0,771.0,562.0,69.0,53.0,328.0
41.0,28.0,132.0,315.0,295.0,97.0,622.0,532.0,148.0,280.0,253.0,273.0,236.0,230.0,186.0,813.0,771.0,562.0,469.0,431.0,63.0,389.0,371.0,189.0,98.0,69.0,99.0,76.0,52.0,121.0
16.0,5.0,1.0,41.0,36.0,6.0,813.0,771.0,562.0,280.0,253.0,273.0,93.0,85.0,264.0,1187.0,1186.0,378.0,93.0,75.0,196.0,757.0,726.0,674.0,79.0,57.0,394.0,372.0,334.0,241.0
16.0,5.0,1.0,41.0,36.0,6.0,316.0,310.0,257.0,159.0,150.0,200.0,371.0,344.0,239.0,1187.0,1186.0,378.0,761.0,749.0,120.0,680.0,618.0,399.0,813.0,771.0,562.0,372.0,334.0,241.0
513.0,468.0,470.0,761.0,749.0,120.0,86.0,51.0,526.0,267.0,242.0,40.0,154.0,137.0,100.0,16.0,5.0,1.0,200.0,200.0,293.0,21.0,20.0,41.0,813.0,771.0,562.0,6.0,11.0,78.0
431.0,407.0,621.0,679.0,618.0,382.0,637.0,615.0,509.0,813.0,771.0,562.0,396.0,371.0,669.0,515.0,486.0,469.0,13.0,3.0,92.0,486.0,481.0,359.0,724.0,697.0,597.0,652.0,619.0,465.0
37.0,34.0,36.0,119.0,100.0,402.0,976.0,918.0,458.0,813.0,771.0,562.0,126.0,90.0,237.0,396.0,371.0,669.0,20.0,12.0,66.0,637.0,615.0,509.0,106.0,107.0,330.0,23.0,9.0,24.0
370.0,354.0,599.0,79.0,78.0,238.0,77.0,50.0,191.0,6.0,11.0,78.0,652.0,619.0,465.0,475.0,456.0,291.0,119.0,100.0,402.0,338.0,278.0,609.0,813.0,771.0,562.0,396.0,371.0,669.0
170.0,166.0,113.0,657.0,623.0,579.0,456.0,456.0,329.0,813.0,771.0,562.0,23.0,9.0,24.0,30.0,29.0,7.0,200.0,200.0,293.0,15.0,11.0,25.0,373.0,370.0,245.0,652.0,619.0,465.0
370.0,354.0,599.0,416.0,409.0,122.0,545.0,523.0,68.0,25.0,28.0,12.0,3.0,2.0,10.0,139.0,95.0,614.0,154.0,125.0,469.0,456.0,456.0,329.0,813.0,771.0,562.0,732.0,718.0,378.0
168.0,171.0,168.0,262.0,255.0,218.0,26.0,20.0,65.0,107.0,66.0,155.0,18.0,9.0,33.0,19.0,24.0,67.0,198.0,202.0,77.0,153.0,143.0,235.0,813.0,771.0,562.0,12.0,10.0,0.0
513.0,468.0,470.0,274.0,266.0,425.0,362.0,349.0,562.0,280.0,253.0,273.0,349.0,294.0,706.0,32.0,18.0,34.0,9.0,3.0,63.0,68.0,49.0,484.0,813.0,771.0,562.0,432.0,399.0,481.0
72.0,91.0,28.0,76.0,61.0,307.0,309.0,317.0,95.0,813.0,771.0,562.0,349.0,294.0,706.0,12.0,5.0,0.0,47.0,44.0,60.0,25.0,19.0,42.0,62.0,52.0,66.0,57.0,48.0,5.0
813.0,771.0,562.0,129.0,84.0,460.0,5.0,7.0,93.0,386.0,353.0,475.0,417.0,380.0,529.0,892.0,876.0,374.0,88.0,60.0,414.0,380.0,372.0,330.0,843.0,809.0,618.0,328.0,299.0,649.0
813.0,771.0,562.0,92.0,84.0,0.0,362.0,349.0,562.0,386.0,353.0,475.0,35.0,47.0,58.0,8.0,10.0,66.0,514.0,469.0,470.0,5.0,7.0,93.0,338.0,266.0,396.0,328.0,299.0,649.0
