SERVER,BTOP_CHAMP_ID,BTOP_CHAMP_MAST,BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_CHAMP_ID,BJGL_CHAMP_MAST,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_CHAMP_ID,BMID_CHAMP_MAST,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_CHAMP_ID,BBOT_CHAMP_MAST,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_CHAMP_ID,BSUP_CHAMP_MAST,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RTOP_CHAMP_MAST,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_CHAMP_ID,RJGL_CHAMP_MAST,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_CHAMP_ID,RMID_CHAMP_MAST,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_CHAMP_ID,RBOT_CHAMP_MAST,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_CHAMP_ID,RSUP_CHAMP_MAST,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,FIRST_DRAG,FIRST_HERALD,FIRST_TOWER,BFIRST_OBJ_COUNT,RFIRST_OBJ_COUNT,TOP_WLR_DIFF,JGL_WLR_DIFF,MID_WLR_DIFF,BOT_WLR_DIFF,SUP_WLR_DIFF,B_WLR,R_WLR,TEAM_WLR_DIFF,AVG_LANE_WLF_DIFF,TOP_MASTERY_DIFF,JGL_MASTERY_DIFF,MID_MASTERY_DIFF,BOT_MASTERY_DIFF,SUP_MASTERY_DIFF,AVG_LANE_MASTERY_DIFF,BSUM_TEAM_MASTERY,RSUM_TEAM_MASTERY,TEAM_MASTERY_DIFF,BSUM_LP,RSUM_LP,TEAM_LP_DIFF,WINNER
EUROPE WEST,150,46397,228.0,156.0,1068.0,246,387356,312.0,254.0,1001.0,268,135748,684.0,619.0,1224.0,15,102169,18.0,15.0,19.0,497,266708,407.0,372.0,888.0,62,107,119,114,350,24,707714,962.0,916.0,775.0,80,43375,432.0,375.0,1111.0,112,16727,284.0,219.0,1146.0,29,134518,216.0,168.0,1039.0,432,919414,177.0,106.0,1303.0,350,119,777,78,429,0,1,0,1,0,0,0.4113201209271078,0.07634645669291351,-0.19179557542361003,-0.08571428571428585,-0.5757252992493407,1.16454802259887,1.1608744394618835,0.0036735831369865135,-0.07311371655344305,-661317,343981,119021,-32349,-652706,-176674.0,938378,1821748,-883370,4200.0,5374.0,-1174.0,1
EUROPE WEST,114,1161674,373.0,340.0,709.0,254,35904,589.0,538.0,1112.0,79,654979,263.0,209.0,1092.0,498,3998,721.0,645.0,1272.0,497,247984,423.0,387.0,844.0,555,-1,-1,103,41,240,551271,558.0,520.0,857.0,78,48145,432.0,375.0,1111.0,55,735792,190.0,172.0,1013.0,15,102169,18.0,15.0,19.0,26,67304,640.0,576.0,1204.0,157,432,777,119,350,0,1,1,1,0,0,0.023981900452488825,-0.05720446096654275,0.15372204295092917,-0.08217054263565893,-0.01808785529715773,1.1179801793298725,1.1085645355850422,0.009415643744830282,0.004048216900811719,610403,-12241,-80813,-98171,180680,119971.6,2104539,1504681,599858,5029.0,4204.0,825.0,1
EUROPE WEST,150,156915,194.0,149.0,837.0,78,48145,432.0,375.0,1111.0,517,111733,439.0,386.0,1046.0,523,177752,136.0,107.0,1055.0,888,46577,423.0,387.0,844.0,432,119,555,55,24,887,27298,124.0,74.0,933.0,234,285117,333.0,273.0,1008.0,429,5336,97.0,82.0,763.0,13,136596,218.0,189.0,658.0,79,654979,263.0,209.0,1092.0,92,117,62,103,131,1,1,0,1,0,0,-0.3736622528568838,-0.06778021978021997,-0.045621129786427295,0.117588883944024,-0.16534994992767338,1.1566951566951567,1.2515114873035067,-0.09481633060835004,-0.10696493368143609,129617,-236972,106397,41156,-608402,-113640.8,541122,1109326,-568204,4893.0,4454.0,439.0,0
EUROPE WEST,79,82980,440.0,408.0,736.0,80,43375,432.0,375.0,1111.0,4,315491,10.0,4.0,100.0,18,167949,660.0,624.0,728.0,235,41931,406.0,376.0,824.0,517,20,350,122,421,24,10929,299.0,253.0,701.0,2,12813,261.0,218.0,742.0,432,919414,177.0,106.0,1303.0,202,105808,186.0,162.0,721.0,147,48602,695.0,646.0,677.0,517,421,67,119,163,0,1,0,0,0,0,-0.10338680926916233,-0.045247706422018474,0.8301886792452831,-0.09045584045584043,0.003935840853698691,1.0900951315053162,1.168231046931408,-0.07813591542609166,0.1190068327903921,72051,30562,-603923,62141,-6671,-89168.0,651726,1097566,-445840,3499.0,4144.0,-645.0,1
EUROPE WEST,122,462466,299.0,253.0,701.0,80,43375,432.0,375.0,1111.0,517,40043,259.0,240.0,553.0,96,758251,375.0,350.0,621.0,432,240933,406.0,376.0,824.0,67,350,20,29,104,79,654979,263.0,209.0,1092.0,421,2669483,386.0,348.0,866.0,163,62243,582.0,533.0,679.0,429,39954,711.0,685.0,491.0,497,397205,411.0,383.0,638.0,39,200,78,119,26,0,1,0,0,0,0,-0.07655502392344493,0.042804597701149305,-0.012765791119449643,0.033472367049009355,0.006680184434198155,1.1110414052697617,1.0903614457831325,0.02067995948662915,-0.0012727331717075519,-192513,-2626108,-22200,718297,-156272,-455759.2,1545068,3823864,-2278796,3810.0,3766.0,44.0,0
EUROPE WEST,777,539908,274.0,221.0,1213.0,64,816287,432.0,375.0,1111.0,163,6662,232.0,178.0,1044.0,895,14975,667.0,619.0,918.0,40,307785,250.0,202.0,779.0,119,350,58,15,429,86,2277647,298.0,242.0,929.0,120,1005957,1129.0,1094.0,684.0,7,76599,192.0,157.0,685.0,81,56195,686.0,619.0,1255.0,432,331035,467.0,356.0,1691.0,203,1,360,55,164,1,0,0,0,0,0,0.008414045847201068,0.12000731261425956,0.08044085021112157,-0.030694668820678617,-0.07417399043275119,1.1630094043887147,1.1231766612641816,0.03983274312453311,0.02079870988383048,-1737739,-189670,-69937,-41220,-23250,-412363.2,1685617,3747433,-2061816,5065.0,5244.0,-179.0,0
EUROPE WEST,79,356572,451.0,415.0,883.0,147,2012,37.0,23.0,168.0,107,118384,93.0,47.0,677.0,15,40236,136.0,107.0,1055.0,497,172975,406.0,376.0,824.0,350,40,114,119,166,238,75298,721.0,646.0,1256.0,80,43375,432.0,375.0,1111.0,517,7472,192.0,157.0,685.0,50,10116,555.0,489.0,1276.0,53,62427,113.0,98.0,684.0,350,163,55,-1,119,1,0,1,1,0,0,-0.029352083255623107,0.45669565217391317,0.7557934679495868,0.13605871222980315,-0.07327399044724281,1.1601239669421488,1.1405099150141642,0.0196140519279846,0.24918435173008743,281274,-41363,110912,30120,110548,98298.2,690179,198688,491491,3607.0,5012.0,-1405.0,0
EUROPE WEST,67,77082,18.0,16.0,59.0,254,84683,573.0,535.0,739.0,7,76599,192.0,157.0,685.0,429,37349,721.0,645.0,1272.0,40,81892,154.0,127.0,387.0,-1,29,38,119,-1,157,1313665,625.0,578.0,858.0,78,48145,432.0,375.0,1111.0,711,42423,344.0,319.0,486.0,30,422126,147.0,104.0,727.0,111,12068,167.0,153.0,708.0,163,-1,24,517,350,0,0,1,1,0,0,0.04368512110726641,-0.08097196261682238,0.1445600303496195,-0.2956320810971975,0.12109515722299435,1.1202702702702703,1.1216481360366253,-0.0013778657663550131,-0.013452747006827925,-1236583,36538,34176,-384777,69824,-296164.4,357605,1838427,-1480822,3142.0,3890.0,-748.0,1
EUROPE WEST,887,400760,87.0,74.0,50.0,131,79532,432.0,375.0,1111.0,777,10036,139.0,134.0,424.0,895,9042,42.0,28.0,202.0,40,81892,154.0,127.0,387.0,147,429,119,38,350,85,25741,389.0,379.0,668.0,234,45239,101.0,76.0,1057.0,61,234088,397.0,366.0,570.0,523,71635,475.0,435.0,797.0,888,20856,159.0,149.0,419.0,266,429,-1,147,200,0,1,0,0,0,0,0.1492904514012694,-0.17694736842105274,-0.04738602071609166,0.40804597701149414,0.145484331237119,1.1571815718157181,1.0825622775800712,0.07461929423564695,0.09569747410254763,375019,34293,-224052,-62593,61036,36740.6,581262,397559,183703,2174.0,3511.0,-1337.0,1
EUROPE WEST,85,57325,331.0,277.0,940.0,62,35499,465.0,409.0,1051.0,91,414190,305.0,243.0,1339.0,67,25129,277.0,214.0,1058.0,43,128642,393.0,343.0,1032.0,107,163,350,7,119,240,2072,158.0,115.0,947.0,64,816287,432.0,375.0,1111.0,517,49651,441.0,377.0,1067.0,360,20351,42.0,34.0,75.0,89,94871,467.0,356.0,1691.0,119,55,80,86,887,1,1,0,1,0,0,-0.17896719510280956,-0.015080684596576965,0.08538275971226161,0.05909840571742708,-0.16602515805680218,1.1917900403768507,1.2251392203659506,-0.03334917998909992,-0.0431183744653,55253,-780788,364539,4778,33771,-64489.4,660785,983232,-322447,5420.0,4891.0,529.0,1
