SERVER,MATCH_ID,BSUM1_ID,BTOP_CHAMP_ID,BSUM2_ID,BJGL_CHAMP_ID,BSUM3_ID,BMID_CHAMP_ID,BSUM4_ID,BBOT_CHAMP_ID,BSUM5_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RSUM1_ID,RTOP_CHAMP_ID,RSUM2_ID,RJGL_CHAMP_ID,RSUM3_ID,RMID_CHAMP_ID,RSUM4_ID,RBOT_CHAMP_ID,RSUM5_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,BCHAMP_KILLS,RCHAMP_KILLS,FIRST_DRAG,BDRAG_KILLS,RDRAG_KILLS,FIRST_HERALD,BHERALD_KILLS,RHERALD_KILLS,FIRST_TOWER,BTOWER_KILLS,RTOWER_KILLS,FIRST_BARON,BBARON_KILLS,RBARON_KILLS,FIRST_INHIB,BINHIB_KILLS,RINHIB_KILLS,WINNER
NORTH AMERICA,NA1_4396515853,_rz2B5gcGgG78Ce-qPHbK_BjSGuAYXVbU5HehuD69QhJE2I,50,RWNELKaFziEInyoYrBUt2CAKeHxIi_1S71GwvUdr__CJErI,200,WTTjHK7BiVw0fYiDWcPfuV248NITM-7Yvz2t1KqtYjEJzjA,38,F8TVH5gwahG6ByWfv5nt6xmqGItJAOHTP_vRj6R_kYIuDnaSo6_6B1MMng,119,SObOtRbK5xU7yZaH--gtYohyycXJv-6yAhcGudzWkB9VeYE,555,350,266,147,888,120,TwJAPPEkLMaBgMTBhA0f8b3yx37bjlTfPqudDZEntOZfi0A,75,qblTeTKAKSpxTEbRLR-9boS7C7ZivgOte81cpHKjz0s1SxW8,203,-mhcp2urSsr5scOkFeXXMkzMhzrrJSZ1dWH4z3xLgjlukls,8,1Tu3ikxu9BHe22WSCJrb7xN3Kxicu7dMc432PLGqsxLcWMj69K9qgriTCw,51,0NaJvR6l75DGHUJT0tVb9_tVZ79EMzPE_zgKm5Sp5Eg6dug,22,24,360,84,53,246,RED,15,3,BLUE,1,0,BLUE,1,0,BLUE,7,0,NONE,0,0,BLUE,1,0,BLUE
NORTH AMERICA,NA1_4396540388,r0VX6FfhshlR1S_yFNnv3FZ24b37EPCXZ0X5PUpu82Mqncs,266,qxox9oRsNSZttfe03EJKZgf5_YV7eqYl5SbsSuioeY0zlF8,9,-mhcp2urSsr5scOkFeXXMkzMhzrrJSZ1dWH4z3xLgjlukls,8,F8TVH5gwahG6ByWfv5nt6xmqGItJAOHTP_vRj6R_kYIuDnaSo6_6B1MMng,119,Q5G21bXQS9mNgwc3BZn2Eqmj1_bn3rSuQF6YVTNExheM3qc,875,888,84,114,147,203,M54Bf2K5K8uQt5tsYbW4MPYx0qxVLun_A5Id4vceSU9bRnY,555,tgXbmPqNrlNC5yNHlHaeUNENoRqzKZlu5dyN2SWf8ClJqB4,421,6Yk640Nvpih8tXoMlxFG7n_TkZVDiek_Wqe5oGT6eEJcASE,221,k21uPF4q7uHwt6_1YiNIHcD2wTXsX-Ot0x2pJkqH_UnRPmA,51,SKpf2UR_zOVoGH4Aqr3BSztDnZS5z8IxFjYl2xe2evg_YZHNIt1dmLid9g,39,203,11,350,777,53,RED,24,13,BLUE,4,0,RED,0,1,BLUE,8,4,BLUE,1,0,BLUE,1,0,BLUE
NORTH AMERICA,NA1_4396495283,g96u4Zu60wNHE_ghxcPDuC_Mc9ouc3m48Mx_NLdZ1FMdfxg,266,Dr8A8hpa5aBnlkY4qMoo8d40qEcqOIIlfc0C3ojR4JGkJmQ,200,F8TVH5gwahG6ByWfv5nt6xmqGItJAOHTP_vRj6R_kYIuDnaSo6_6B1MMng,1,V-vrG5r7dzvV3vppV-vDVZXsFAE0jMQWCIMJPYom6RjAhSCbAQaqDia6oQ,360,Mhua_I7r3cnbEpXXBucN6RddhnP88ZmJYG76SmLlNKEnxsspp3lp97hBbg,113,246,55,238,91,114,mnMugr1ZjnRPxyeoC1EUY--xb_rvlM_5kQAy8WkE3BDM0yg,92,p5MER4Sy0TwyqVrBkad_SsC__O6wnBKQ-yR7P0Tc5caQF4Iv1G1nCWDR5Q,78,6gcNpuGIySxQ-V4FKyof9WuoNm7lRYImYUb6hLBxWYZl1bo,38,5_29F7PyjyDbF1TftiEsGR_RI3PRz3iIkqZFld-HN0tE4baZ28UtF7RX9Q,81,gH7bAXobtf1aD6sBOeXrTpJQZawGJ2vEH7Ch3B_YMrd64_KI3ttxIid-fw,43,30,888,157,67,777,BLUE,23,19,RED,2,2,BLUE,2,0,BLUE,9,5,BLUE,1,0,BLUE,1,0,BLUE
NORTH AMERICA,NA1_4396437949,Mj8iPiDSI3xHQO_1gDFsGz5uf6dwY7vHZla08rzzMuRmHYc,27,H9lyL4tk2OM82hgYSU36Dr-MlVdpGFY7OBQ45cQSnP0jKzNh,421,36g0ZTyQO7y54a6u-u2oAR0lAWoIrU7rL_V65ipeEyautWY,74,DWXk985dJPD6ywHdP9yIVJQe7kGLMVb3c502hFDTLGIaJyU,119,xL-gHga9xDBG2avQT56HZlPRLQUKX2OkvJkfsOtr29S2mrbP0nYG1p9rww,111,35,350,268,103,157,6iYKLwqaIuNCKcDLC9j-pfakMdGIAIbmRpEi2ZTJeG3iJng,68,oZ5WxhccLI0_nX37StpJPRLi_AIy4VPB-gJ3xUf5QSdiu1c,238,F1HIAxUIHQcFM4Cc5eHdhdqT01VRvyMLQnjulX6JslYadVI,163,F8TVH5gwahG6ByWfv5nt6xmqGItJAOHTP_vRj6R_kYIuDnaSo6_6B1MMng,25,WhpWEPkYQM11sZA4p5X9UdzLX8iMhCl-x21XBwZI-4NAiMk,51,235,84,246,555,888,BLUE,26,32,RED,0,4,BLUE,1,0,BLUE,3,7,RED,0,1,RED,0,2,RED
NORTH AMERICA,NA1_4396434056,daODRa4nnhTu0q1-eycLcvTqE_eG9-knakaOpTdDwymGsD0,516,MxCz3g6oBXQubGlvJnMTvdaJ73L6J9CIlYgzoj9nOY_SXuA,131,d1taUIColLPNBQdrVyuo-LdG80RYmo6Bqk_qU5gPsYGsLQs,104,xL-gHga9xDBG2avQT56HZlPRLQUKX2OkvJkfsOtr29S2mrbP0nYG1p9rww,523,F_vN1N4c2g8lBXpleJwskpDM3QCi9NBxgKje10-BhCkXZ60,43,200,221,203,266,127,6iYKLwqaIuNCKcDLC9j-pfakMdGIAIbmRpEi2ZTJeG3iJng,887,oZ5WxhccLI0_nX37StpJPRLi_AIy4VPB-gJ3xUf5QSdiu1c,238,E8IqfNVuy25O7O3PZOrSMkg9buQcONdu8mB4IMXi7zcQz-U,84,F8TVH5gwahG6ByWfv5nt6xmqGItJAOHTP_vRj6R_kYIuDnaSo6_6B1MMng,119,EWIb1CNPBkH4HWAR2Icir6MUh9Ovb9m9dPkgXE6sjPnW0nc,235,157,888,200,246,56,BLUE,17,40,BLUE,2,2,BLUE,1,0,BLUE,4,11,RED,0,1,RED,0,2,RED
NORTH AMERICA,NA1_4396144960,mY2Iiz4J_1vCAKfDLjJQchgXGmRFsQLN3Gz0q8a4rBtTc5Y,24,GoIpf27_e7I6Swy4eRtTYF4D5srZEPSU7FLc4ec8RSRHbrCs,48,GfeHFyDUNBO48SHYkyaGb8wjhEGAEcbL_aGXBuyZZU0Bf0Q,350,SJgFd9gOl78m7b80D3rzQJhDXyMlgJeAerrhRxpbMKbop6ZE,15,WhTk2RB33U7lzKy-10zRiItDoaOacvHYlI6gOX_1YmgcFu9f,68,147,235,28,30,238,F8TVH5gwahG6ByWfv5nt6xmqGItJAOHTP_vRj6R_kYIuDnaSo6_6B1MMng,2,yBwyL9xzD4TLyBZojnGxLHC28WEO2T2R3HpPK-gNC7PBj25iq8MDggHpyg,254,XsnFSx7QBr6YjQWysf5HV0d1CUeRjX2T9xRamZPaig85qAI,711,Xr_e59vDKjIsbSxHew9EZSKffZP8cKELEKDH3yogrCpGhlBo-xXBE5Ir9A,18,Gmiya2l-O1rXHTB0Lc4Y9O1KrwjV1cqzv5mO-67TGKSK4sY,44,22,888,119,154,246,BLUE,18,24,RED,0,4,BLUE,1,1,BLUE,3,4,RED,0,1,NONE,0,0,RED
NORTH AMERICA,NA1_4396114797,VY2autNR7bMo0b75OT8zny3Bio0h-5bigvDLZOcQU-ty25Y,518,6lgD4I0tgFO1fRQO2qcRq6ZSJW2i3RIHXvx6Ei93WWZPjwo,64,F8TVH5gwahG6ByWfv5nt6xmqGItJAOHTP_vRj6R_kYIuDnaSo6_6B1MMng,18,SJgFd9gOl78m7b80D3rzQJhDXyMlgJeAerrhRxpbMKbop6ZE,15,v73zpuW3s7Co6URSQ57yzSJCtk36Zh9FPeL2mdb8dviDtKg,40,147,888,29,114,9,uvGeQRDQX-_e__pGH6znnxFkZxxfywD6CwSA1Ag_KvMrpk8,82,oGwUumNF0w89ivtIRbhn9Rtfpgd4eYYWJvG-DkvMURK9R5KHOcaS_hxZwQ,203,pPIYT34A_yuUB78Iwyj9_rhk9om1jBL8Q-W0opl0IT6wdDwu,61,aDWB-061kl9dXA9rjibJtOBqFrEixRyGoDvamUCutgF64JHvWahmQvJp7w,119,rfxV1z_rSTMOeGvOOZiLhSqXDnMd2d0aIuFFBb3qepzV5N5xiQYr26InWw,412,163,141,27,350,92,RED,9,20,RED,0,3,RED,0,2,RED,5,9,RED,0,1,RED,0,2,RED
NORTH AMERICA,NA1_4396141789,VY2autNR7bMo0b75OT8zny3Bio0h-5bigvDLZOcQU-ty25Y,518,6lgD4I0tgFO1fRQO2qcRq6ZSJW2i3RIHXvx6Ei93WWZPjwo,64,8PlMr5AZhrsIHDeOCQNfSYRmm39DT9-i9Tj62jRfkUk9-Qk,50,MSwI7DHF4ksfdHzPYFswRF3lgo4SLVbtXVCC_HqaZwqDwzA,21,chth5wnP7QaezoYoVJucV4-zqhQjgh7c0SQbfvdNpJFTY70,22,240,91,517,114,141,uvGeQRDQX-_e__pGH6znnxFkZxxfywD6CwSA1Ag_KvMrpk8,875,QaEX3hPOOhuqmZHh8BjgsJ-x2CAMnxvvXCOfCzUwfK9OD55GmNxbaq9Pzw,33,yTuLtJ4Gwq2eMob_WmEAe_40A5Yr53iq5wncJPJ2sCNWwSUaKYH4XafABQ,163,F8TVH5gwahG6ByWfv5nt6xmqGItJAOHTP_vRj6R_kYIuDnaSo6_6B1MMng,119,rfxV1z_rSTMOeGvOOZiLhSqXDnMd2d0aIuFFBb3qepzV5N5xiQYr26InWw,412,350,107,92,888,141,RED,28,16,RED,3,1,BLUE,2,0,BLUE,10,1,RED,0,1,BLUE,2,0,BLUE
NORTH AMERICA,NA1_4396130774,Y-vXyOvGgAO-kY7K6FTvvZpmYxtLZVF57tLu-xIf8YnKLaukD_ozRd800Q,104,QaEX3hPOOhuqmZHh8BjgsJ-x2CAMnxvvXCOfCzUwfK9OD55GmNxbaq9Pzw,33,Ms9pc5bBBmW6HZmE6fuELczz7b2paA8KSTABrakP8Y9lN8OVrqJ4NHLp2A,30,cBheAWHPPfNlueiwVxv_lSjbHtLeKFREas0F6RMpbCYpckc,222,1oeZZ6vQQYb44PqQs_IqqjfqugIg0StCtGXH8ORwlB0QIuaMxMMZRj_aJg,117,91,24,119,147,141,VY2autNR7bMo0b75OT8zny3Bio0h-5bigvDLZOcQU-ty25Y,518,uACDhXOIzvcGns1gYaGf82qmghuB_o4o72JVijwEMXbsS8yl6Q3IBcUUxA,78,czDQs-cdFfYJqPLqhm-L0npoIzSSnDDMiA1tz7ly0hAk7uA,112,F8TVH5gwahG6ByWfv5nt6xmqGItJAOHTP_vRj6R_kYIuDnaSo6_6B1MMng,15,CVdUE3fBzOlLXuXq8luVSn2MuPWyxq4y2FTQ0GWsS0uS-rbabWcQmMRW3w,432,888,114,157,62,555,BLUE,10,20,RED,0,1,RED,0,1,RED,1,4,NONE,0,0,NONE,0,0,RED
NORTH AMERICA,NA1_4396100785,5JVWeGVTUrglGwqIdb9y-VM1kXnmcRvOeTBTbpJHQc9HzSM,2,yTuLtJ4Gwq2eMob_WmEAe_40A5Yr53iq5wncJPJ2sCNWwSUaKYH4XafABQ,76,kFdQ4wrkWy9PQreGP-KReo6PHcwG5XmYi2VN0M9VyfvVw-A,55,F8TVH5gwahG6ByWfv5nt6xmqGItJAOHTP_vRj6R_kYIuDnaSo6_6B1MMng,266,SnC_4LMA4W25WQid_VZkllxfMjap_0UJkoQWyIi2zVIDyMs,22,350,518,888,157,107,G33YRFrinuWnTF5Rn8Pi6iS9ldF5AAphbppvxaZjCOEB5Q4,78,VeEEm5Bxv_sGlQWTMWfHKJWbyEFOesvl6ilAGwFYRj8M78EA,163,4VA1bl4077BkdPODHbtIdCDEbwTO90NMPzbVuLoHp43sI1bx,142,pYHfJMfiAJpD7JT3wpQWbcAtGi9s_mE84gkb37N2kfRcREI,18,zkvrzNARiQ0j30tEazE3mIzzPTCnohIZ4F1lmpKq7-lw15Wqg3Qx2WSKNw,32,122,119,15,38,200,RED,27,12,BLUE,2,0,BLUE,2,0,BLUE,4,0,NONE,0,0,NONE,0,0,BLUE
NORTH AMERICA,NA1_4396038545,AojAreWonlSn1hx7VNFy4npCJB8bkcgWLSWCWTecwupk2Jy8,27,yZ69BmrPfoVWJasWd7O60ccFc2fO6pcf3tdYOs-dfES1ank,421,aCPVzPEs56fN_5StVqpRMzaNzl8TkLq5YcDXzFAkpIZ84YE,43,F8TVH5gwahG6ByWfv5nt6xmqGItJAOHTP_vRj6R_kYIuDnaSo6_6B1MMng,67,u_sLhOTSqzQJXXkihXGJv6pt2XbRs8jE_k-rAt22W-febDrPmlXCnwPTZA,40,15,114,107,9,888,SnC_4LMA4W25WQid_VZkllxfMjap_0UJkoQWyIi2zVIDyMs,86,AUJtqqyoXliHXJ6TgPUWDSr76HOk7tfKuhUAZuJcpi_TcbEZAuDj_wFJbQ,78,kFdQ4wrkWy9PQreGP-KReo6PHcwG5XmYi2VN0M9VyfvVw-A,55,jF_BmqlsgGzBGbfHnwqpv9xiLC3jfXQQTyUwwpecW0QgMH2o8jJtgbnr2Q,145,lJY-A92nINkNQ769xegLAcFAeYSRz7WBsMQxsgDQEiTsSTY,111,157,119,20,15,9,RED,30,28,BLUE,3,3,RED,1,1,RED,6,9,RED,1,2,RED,1,4,BLUE
NORTH AMERICA,NA1_4396082610,3JbAspYvgBr4d2Sh3cwn-Pk1PKCcZcoIrKpfEKt_oSfGZX0,266,VxoqWgHER3h319JMxg7vbr9DjH5Qi3WTIUMhsuBYcjo3ugCiOEAvW-5lDg,60,FkSoEpFyuf3mJ2tyNOojfHLvpW8gGpQwzRJfi_1LpCC8v1In,45,CVdUE3fBzOlLXuXq8luVSn2MuPWyxq4y2FTQ0GWsS0uS-rbabWcQmMRW3w,67,zkvrzNARiQ0j30tEazE3mIzzPTCnohIZ4F1lmpKq7-lw15Wqg3Qx2WSKNw,12,141,119,39,875,221,3TKBwJHv4NHK3AxZdzItX2IK-G03ClMFRUoos5xLqnMBbis,31,yZ69BmrPfoVWJasWd7O60ccFc2fO6pcf3tdYOs-dfES1ank,131,ZtWdrVf9SdzaQr7DYpas2LOHaKptyKXrZp-fJhpzKInxrQLiXixLAP_Xug,41,F8TVH5gwahG6ByWfv5nt6xmqGItJAOHTP_vRj6R_kYIuDnaSo6_6B1MMng,81,SnC_4LMA4W25WQid_VZkllxfMjap_0UJkoQWyIi2zVIDyMs,111,8,119,238,154,888,BLUE,38,19,RED,1,2,BLUE,2,0,BLUE,7,2,BLUE,1,0,BLUE,1,0,BLUE
NORTH AMERICA,NA1_4396029159,gINtyojozpyFO2RlSSzmtqs-xW47B2mnQr4Vaq8Z58J37YA,83,xghBfES-kT0qU7_kRdtp74NpT5YBm5kw8i4kGYDFQUVdwd8,20,PZYMzkh5t3LTtCPNZmx3gPwv6ksl0aJ9lUJqiGsUUL83XPw,7,F8TVH5gwahG6ByWfv5nt6xmqGItJAOHTP_vRj6R_kYIuDnaSo6_6B1MMng,15,lJY-A92nINkNQ769xegLAcFAeYSRz7WBsMQxsgDQEiTsSTY,412,888,131,555,114,62,aepLZBBAo_cjk99l2tkUCa44GrXkkrNJgxT2FK2DlzkeQSE,41,uACDhXOIzvcGns1gYaGf82qmghuB_o4o72JVijwEMXbsS8yl6Q3IBcUUxA,245,BSalu-P6TaWY67pcgXiLMtf0QHnCKo-WJPR-DEmfQLlxfvo,121,t9cmaICqhGE9VvScrsys7Hv_H-bJ3FFyC7KeO6RsMBShDME,21,zkvrzNARiQ0j30tEazE3mIzzPTCnohIZ4F1lmpKq7-lw15Wqg3Qx2WSKNw,117,62,23,119,84,517,BLUE,10,5,BLUE,2,0,BLUE,1,0,BLUE,2,0,NONE,0,0,NONE,0,0,BLUE
NORTH AMERICA,NA1_4396007341,3JbAspYvgBr4d2Sh3cwn-Pk1PKCcZcoIrKpfEKt_oSfGZX0,266,09By4KKsui-KtmqIwOYTfpuIBK_n1n4_iDSOhSrjXt2t7qc,154,ml6eMRafW09cCv2R16ICpE1NiYZGkt_DneHb_5whiR_2MrDV,163,WhpWEPkYQM11sZA4p5X9UdzLX8iMhCl-x21XBwZI-4NAiMk,22,J1k9zR-CKPBIpTlB_LTXjrT3qS6AxSXIO4D7HQT9tIzsa0Y,53,203,114,15,246,39,NIdtNBggP1s9ekaSfrZCnMvl1-irsXfxawJ1Q-bm-kalnyM,518,Qu5-0MbmSK7GeegwaSAlsdySFUd6SxxwgjAAaR6xHSqyv3bnsA7yw_BYNA,254,PZYMzkh5t3LTtCPNZmx3gPwv6ksl0aJ9lUJqiGsUUL83XPw,517,F8TVH5gwahG6ByWfv5nt6xmqGItJAOHTP_vRj6R_kYIuDnaSo6_6B1MMng,119,4ice3zKq8wTfEefD84RIu_ibj_q9EJ2uCZUJ-lIkTgXjqJg,555,234,15,41,888,62,RED,12,27,RED,0,3,RED,0,1,RED,0,5,RED,0,1,NONE,0,0,RED
NORTH AMERICA,NA1_4395973482,-uTGIwIz7o0ALBKn0XJSheuJZIUh2rJt5MURLOQ785qoa3Y,58,BK6tJIh4ZouabeUb-tc9-2KBn2RHlyUUubVUrnMPo8fGXO_A,234,J1cKKg8h_7BfLsxuQk2QAmywv1iNXit61bnKOB2R5zZKctI,163,EeHEjXJjorlqnVI9ISMREWIALFJ1WvoYUdQYrLVvF0tG9Xip,360,50_n17pWGJ-16s_SvzrueT5hW1YFeOc9HulC4NDMssbJXWo,412,147,15,122,53,119,XinDEAF5PI7Jig2qx2RBaJI8lT2K_KQCh5f7YrBVGSMaobE,92,YIXKJqUo2-IPEsuBu-aMxgJjcWGfASiBoS4WIenO3QD_-uFW,876,sNnWw2k3nOimbc_dxY2bxDmAjLce4v3aFvy5N5LPAsH7iTiJ,777,F8TVH5gwahG6ByWfv5nt6xmqGItJAOHTP_vRj6R_kYIuDnaSo6_6B1MMng,29,CZ7gRT5SEaBjJx9g1LDIM6y2Tx4lL4SYBRztRE6sPSF8uxI,16,53,888,133,112,9,BLUE,23,38,BLUE,2,2,BLUE,1,1,BLUE,2,7,RED,0,1,RED,0,1,RED
NORTH AMERICA,NA1_4395966103,Y-vXyOvGgAO-kY7K6FTvvZpmYxtLZVF57tLu-xIf8YnKLaukD_ozRd800Q,58,oGKxIa_GUdlxD6pQ12GENbLCi3Fv9KMQxvyKxBEzDiCK7Hp7,141,S_gd4bx7sm8zSe90U4K8S02-OroMzjTMNdpqnmwkP6XJt2Q,517,SJgFd9gOl78m7b80D3rzQJhDXyMlgJeAerrhRxpbMKbop6ZE,15,lBOQMtCYoTb1TeQdeEwBN_J4ojd1FJXTe9Pv2cC47DdcIKU,40,107,268,147,78,238,5LaCE65sZE9DT7pWcS2_Pkz5bdYSiKRh6h9Z0tHCcfjeMSU,74,ynyKw_2_J99fGrwki2hZkChGwfyD2Z0gkJg6a0PzX9yoFrU,35,uzbg4tbbtVyQcHe-BIZXF9hYg52pE0PnCul1Ut6lxc6z9uUs8opWDUnY1g,236,F8TVH5gwahG6ByWfv5nt6xmqGItJAOHTP_vRj6R_kYIuDnaSo6_6B1MMng,119,bUpyF6CCm-2AroLq7AyYnVQqmQosU49N-FUNpKgtY9GvS7tK,12,888,-1,163,91,104,BLUE,9,29,RED,0,3,RED,0,1,RED,2,10,RED,0,1,RED,0,2,RED
NORTH AMERICA,NA1_4395941550,KLV-KyKeEux5iH20zd4HRU3prmqOkcbLAtlnwnx-S7jepts,54,HSQEx62xocUFPiuZyszrTX9xYC6Zl55a5TATkRIJvMbSMYY,9,-gi3j4fEMVqEDTJHqUauqGpHWtcYbHj8rRjhZtW6Iro06ciIIEJ-EYbjXg,8,F8TVH5gwahG6ByWfv5nt6xmqGItJAOHTP_vRj6R_kYIuDnaSo6_6B1MMng,119,lBOQMtCYoTb1TeQdeEwBN_J4ojd1FJXTe9Pv2cC47DdcIKU,555,78,777,24,38,888,LvRqL5psJB202ZX3LqmUjqxtCMfMBb5DBHasWGw2Lr5pQl4,164,mgvOJRJWsa9FKyQAscQV_o6P-F9zVQcI-JhFGB3lGez580o,131,JH67n1Zks5p8w1_yELdlj1F59K7M6JPr1bayHO0UyNyWJQEalLEFsEL-1A,517,kw38bFK9-phmxeTUU1EN3ymnZBMeJzUN25uV4roYT_fcKGI,81,92bWzDsoKJJ7Ch96wqGO-Olo7fo8uLDhgivN-Ttl3t0SDa0,43,895,91,114,246,62,RED,29,37,BLUE,1,3,BLUE,2,0,BLUE,6,9,RED,0,1,BLUE,1,1,RED
