SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,FIRST_DRAG,FIRST_HERALD,FIRST_TOWER,WINNER
NORTH AMERICA,50,200,38,119,555,350,266,147,888,120,75,203,8,51,22,24,360,84,53,246,RED,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,266,9,8,119,875,888,84,114,147,203,555,421,221,51,39,203,11,350,777,53,RED,BLUE,RED,BLUE,BLUE
NORTH AMERICA,266,200,1,360,113,246,55,238,91,114,92,78,38,81,43,30,888,157,67,777,BLUE,RED,BLUE,BLUE,BLUE
NORTH AMERICA,27,421,74,119,111,35,350,268,103,157,68,238,163,25,51,235,84,246,555,888,BLUE,RED,BLUE,BLUE,RED
NORTH AMERICA,516,131,104,523,43,200,221,203,266,127,887,238,84,119,235,157,888,200,246,56,BLUE,BLUE,BLUE,BLUE,RED
NORTH AMERICA,24,48,350,15,68,147,235,28,30,238,2,254,711,18,44,22,888,119,154,246,BLUE,RED,BLUE,BLUE,RED
NORTH AMERICA,518,64,18,15,40,147,888,29,114,9,82,203,61,119,412,163,141,27,350,92,RED,RED,RED,RED,RED
NORTH AMERICA,518,64,50,21,22,240,91,517,114,141,875,33,163,119,412,350,107,92,888,141,RED,RED,BLUE,BLUE,BLUE
NORTH AMERICA,104,33,30,222,117,91,24,119,147,141,518,78,112,15,432,888,114,157,62,555,BLUE,RED,RED,RED,RED
NORTH AMERICA,2,76,55,266,22,350,518,888,157,107,78,163,142,18,32,122,119,15,38,200,RED,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,27,421,43,67,40,15,114,107,9,888,86,78,55,145,111,157,119,20,15,9,RED,BLUE,RED,RED,BLUE
NORTH AMERICA,266,60,45,67,12,141,119,39,875,221,31,131,41,81,111,8,119,238,154,888,BLUE,RED,BLUE,BLUE,BLUE
NORTH AMERICA,83,20,7,15,412,888,131,555,114,62,41,245,121,21,117,62,23,119,84,517,BLUE,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,266,154,163,22,53,203,114,15,246,39,518,254,517,119,555,234,15,41,888,62,RED,RED,RED,RED,RED
NORTH AMERICA,58,234,163,360,412,147,15,122,53,119,92,876,777,29,16,53,888,133,112,9,BLUE,BLUE,BLUE,BLUE,RED
NORTH AMERICA,58,141,517,15,40,107,268,147,78,238,74,35,236,119,12,888,-1,163,91,104,BLUE,RED,RED,RED,RED
NORTH AMERICA,54,9,8,119,555,78,777,24,38,888,164,131,517,81,43,895,91,114,246,62,RED,BLUE,BLUE,BLUE,RED
NORTH AMERICA,74,141,91,115,111,350,54,200,15,888,150,28,246,236,89,517,23,555,-1,350,RED,RED,RED,RED,RED
NORTH AMERICA,32,11,166,147,85,238,62,888,15,360,23,131,246,236,526,555,268,54,29,114,RED,RED,RED,RED,RED
NORTH AMERICA,2,76,41,81,350,888,238,53,-1,119,114,104,38,22,235,9,234,238,119,150,BLUE,RED,BLUE,RED,RED
NORTH AMERICA,516,200,74,360,37,555,112,23,122,27,68,121,13,119,147,9,111,103,203,888,RED,RED,RED,RED,BLUE
NORTH AMERICA,58,28,19,236,37,41,203,23,555,141,122,246,517,221,57,223,15,163,119,114,BLUE,RED,BLUE,RED,RED
NORTH AMERICA,67,120,8,236,267,23,555,203,112,54,164,245,38,360,134,104,119,15,55,157,BLUE,BLUE,BLUE,RED,BLUE
NORTH AMERICA,150,245,91,236,43,517,104,23,127,119,86,203,112,15,267,104,246,50,119,114,BLUE,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,86,163,55,202,16,119,53,157,166,164,240,104,517,236,412,23,268,114,77,350,BLUE,RED,RED,RED,RED
NORTH AMERICA,517,62,43,236,267,200,350,23,203,119,98,421,84,221,40,114,53,157,78,77,RED,BLUE,RED,RED,RED
NORTH AMERICA,98,141,112,81,350,24,53,203,895,246,84,5,55,236,235,8,234,238,203,23,BLUE,BLUE,RED,RED,BLUE
NORTH AMERICA,266,246,134,236,267,29,-1,107,28,62,92,203,7,119,164,121,147,163,350,131,RED,RED,BLUE,BLUE,BLUE
NORTH AMERICA,236,234,163,119,43,555,38,203,161,-1,41,104,134,21,53,429,114,23,350,55,RED,BLUE,RED,RED,BLUE
NORTH AMERICA,150,13,78,236,267,23,48,53,26,114,2,82,131,15,117,350,555,114,-1,517,BLUE,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,48,238,127,236,267,114,9,28,412,23,223,203,517,523,888,350,-1,268,895,112,RED,BLUE,RED,BLUE,BLUE
NORTH AMERICA,68,78,91,119,37,240,517,238,203,62,92,77,43,222,134,114,268,21,23,147,BLUE,RED,BLUE,BLUE,RED
NORTH AMERICA,875,154,246,119,32,44,234,25,104,114,62,28,58,21,40,104,23,24,157,12,RED,BLUE,NONE,RED,RED
NORTH AMERICA,875,163,41,236,134,21,119,23,114,62,268,2,103,360,80,166,350,895,147,15,BLUE,RED,BLUE,BLUE,BLUE
NORTH AMERICA,2,163,777,236,267,23,245,84,107,555,74,62,157,360,53,350,9,23,81,221,RED,BLUE,BLUE,RED,RED
NORTH AMERICA,777,60,246,236,267,163,350,120,119,114,8,131,238,81,40,7,888,53,150,203,BLUE,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,200,79,268,147,555,23,119,38,235,114,84,238,55,15,117,53,114,141,8,23,BLUE,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,122,54,777,74,432,107,17,888,555,77,82,200,39,236,267,141,114,246,23,203,RED,BLUE,BLUE,RED,BLUE
NORTH AMERICA,266,131,157,21,53,888,23,7,120,107,2,48,517,360,111,888,9,29,350,107,BLUE,RED,BLUE,BLUE,RED
NORTH AMERICA,41,245,268,202,22,555,350,234,114,203,92,141,13,163,43,38,107,7,91,23,RED,RED,BLUE,BLUE,RED
NORTH AMERICA,41,80,136,145,555,7,-1,203,-1,-1,516,246,517,147,26,55,107,114,120,119,BLUE,RED,BLUE,BLUE,RED
NORTH AMERICA,24,497,163,29,121,7,30,888,106,-1,114,59,50,15,22,41,-1,-1,39,555,BLUE,BLUE,BLUE,RED,BLUE
NORTH AMERICA,240,876,246,222,37,235,114,7,20,119,84,44,67,523,432,7,54,-1,104,555,RED,NONE,RED,RED,RED
NORTH AMERICA,23,44,517,119,22,111,-1,268,157,63,86,104,7,360,497,164,777,157,203,555,BLUE,RED,BLUE,RED,RED
NORTH AMERICA,113,91,157,523,37,24,-1,119,7,107,84,80,50,15,43,119,-1,246,114,517,RED,RED,RED,RED,RED
NORTH AMERICA,106,876,61,157,99,11,350,114,200,82,150,79,84,145,497,163,350,711,15,-1,BLUE,BLUE,NONE,BLUE,BLUE
NORTH AMERICA,62,64,84,17,238,157,2,25,11,200,64,29,517,51,43,350,157,35,150,15,RED,RED,RED,BLUE,BLUE
NORTH AMERICA,27,28,238,21,350,11,555,114,-1,35,41,234,99,81,238,22,101,200,39,117,RED,RED,BLUE,RED,BLUE
NORTH AMERICA,266,104,777,30,235,203,119,141,67,24,516,80,55,221,53,119,114,78,89,166,RED,RED,RED,RED,RED
NORTH AMERICA,777,131,157,222,57,203,37,200,888,41,114,78,4,429,497,200,517,41,119,154,BLUE,BLUE,RED,RED,RED
NORTH AMERICA,150,15,157,131,111,200,24,895,9,235,80,777,154,202,22,26,555,119,41,895,RED,RED,RED,RED,RED
NORTH AMERICA,82,234,517,429,53,15,895,203,119,24,68,91,50,81,12,350,777,235,104,203,BLUE,BLUE,RED,BLUE,BLUE
NORTH AMERICA,114,62,163,115,432,9,350,30,104,28,24,78,38,221,147,245,37,-1,350,104,RED,RED,BLUE,RED,RED
NORTH AMERICA,114,98,69,360,3,200,-1,-1,350,895,102,887,81,119,555,15,25,350,122,11,RED,RED,RED,RED,RED
NORTH AMERICA,90,141,245,15,37,238,200,41,11,266,82,14,517,895,26,777,55,350,27,555,BLUE,BLUE,RED,RED,BLUE
NORTH AMERICA,266,64,517,236,432,200,20,122,245,895,164,81,50,67,350,107,200,103,114,9,BLUE,BLUE,RED,RED,RED
NORTH AMERICA,78,876,103,222,147,895,350,16,30,11,84,72,142,360,555,221,67,35,157,81,RED,RED,RED,RED,RED
NORTH AMERICA,85,62,92,81,147,104,103,86,17,22,79,28,246,157,40,895,350,163,104,23,RED,BLUE,BLUE,BLUE,RED
NORTH AMERICA,114,245,238,523,117,350,895,200,235,246,24,9,55,18,497,16,421,11,360,28,BLUE,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,875,107,517,67,53,266,203,147,246,163,150,20,38,15,43,119,203,91,238,24,BLUE,BLUE,RED,BLUE,BLUE
NORTH AMERICA,122,77,4,221,37,203,15,24,119,114,67,555,166,145,238,55,9,147,30,-1,RED,BLUE,RED,BLUE,BLUE
NORTH AMERICA,41,64,79,15,22,23,203,350,32,29,92,20,163,895,1,-1,203,55,119,114,BLUE,BLUE,RED,RED,RED
NORTH AMERICA,67,141,68,202,432,266,203,119,9,114,23,80,163,15,223,154,54,200,91,203,RED,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,41,163,555,221,235,888,266,875,119,37,6,154,68,15,16,429,200,9,895,34,BLUE,RED,BLUE,BLUE,RED
NORTH AMERICA,41,64,7,895,267,887,266,246,163,119,516,5,134,236,497,77,131,114,429,80,RED,RED,BLUE,BLUE,BLUE
NORTH AMERICA,164,120,517,429,12,203,238,350,30,221,518,421,58,360,111,117,114,888,777,163,BLUE,BLUE,RED,BLUE,BLUE
NORTH AMERICA,78,120,777,21,59,104,107,147,41,246,114,154,134,81,888,245,80,516,203,113,BLUE,BLUE,RED,BLUE,BLUE
NORTH AMERICA,92,104,7,147,235,122,41,119,555,30,58,234,134,21,43,26,101,142,62,17,RED,BLUE,RED,RED,BLUE
NORTH AMERICA,114,78,711,15,43,104,20,24,147,203,777,121,7,37,157,24,9,119,555,350,BLUE,RED,BLUE,BLUE,BLUE
NORTH AMERICA,24,121,69,523,26,154,15,1,30,80,887,64,517,221,40,1,141,81,7,104,RED,RED,BLUE,RED,RED
NORTH AMERICA,41,154,517,119,40,555,876,-1,30,67,777,203,84,110,412,-1,7,104,888,78,RED,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,24,77,127,236,267,163,246,203,17,28,78,62,7,21,16,246,3,203,122,166,BLUE,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,266,104,517,119,555,163,77,62,84,11,432,106,99,235,875,236,268,107,203,164,RED,RED,BLUE,BLUE,BLUE
NORTH AMERICA,24,28,157,22,147,141,163,17,104,45,92,91,7,110,53,26,246,9,55,17,BLUE,RED,BLUE,RED,RED
NORTH AMERICA,166,68,157,29,555,246,55,-1,200,92,24,141,163,15,350,119,203,120,22,240,BLUE,BLUE,BLUE,BLUE,RED
NORTH AMERICA,266,2,517,221,350,30,114,163,29,157,240,104,3,69,22,142,26,114,111,147,RED,RED,BLUE,RED,RED
NORTH AMERICA,114,76,777,81,59,147,92,895,9,107,24,104,34,18,888,30,68,15,38,200,RED,RED,BLUE,BLUE,RED
NORTH AMERICA,114,72,711,895,53,254,62,517,17,221,78,131,429,147,555,30,-1,421,350,122,RED,RED,BLUE,BLUE,BLUE
NORTH AMERICA,122,35,127,222,40,62,221,114,517,29,24,141,142,81,26,238,157,-1,107,523,BLUE,RED,BLUE,RED,BLUE
NORTH AMERICA,92,64,7,429,555,58,119,30,112,9,122,11,157,15,497,114,246,350,119,62,BLUE,RED,BLUE,BLUE,RED
NORTH AMERICA,266,91,245,81,143,29,555,7,58,107,164,28,777,119,350,200,92,246,107,203,BLUE,RED,RED,BLUE,RED
NORTH AMERICA,41,64,246,30,555,238,350,17,163,9,518,121,142,15,223,9,39,28,119,888,BLUE,BLUE,RED,RED,BLUE
NORTH AMERICA,85,234,55,119,147,555,157,62,777,122,114,60,246,222,37,76,15,84,350,141,BLUE,BLUE,BLUE,RED,BLUE
NORTH AMERICA,92,141,27,15,147,119,114,86,103,-1,122,42,104,145,40,114,555,895,-1,29,BLUE,RED,RED,RED,RED
NORTH AMERICA,114,121,134,16,74,11,38,887,555,41,166,30,234,15,350,266,119,200,555,84,RED,RED,BLUE,BLUE,RED
NORTH AMERICA,74,62,777,18,412,104,163,555,268,429,516,238,246,15,57,28,235,114,119,84,RED,RED,RED,RED,RED
NORTH AMERICA,8,104,103,895,16,246,117,350,200,84,92,107,166,147,37,119,238,58,39,429,RED,BLUE,BLUE,BLUE,RED
NORTH AMERICA,150,104,85,119,117,200,23,62,64,166,6,203,127,236,267,114,121,107,268,15,BLUE,BLUE,RED,RED,RED
NORTH AMERICA,104,102,166,51,37,268,234,200,246,555,78,76,238,119,40,234,555,122,246,9,NONE,NONE,NONE,NONE,BLUE
NORTH AMERICA,78,64,246,147,161,11,122,30,350,711,59,131,61,222,53,15,114,200,350,119,BLUE,RED,BLUE,BLUE,RED
NORTH AMERICA,240,517,64,51,117,114,203,26,555,200,516,62,134,119,43,105,-1,141,5,203,BLUE,RED,BLUE,BLUE,RED
NORTH AMERICA,85,104,42,119,40,517,141,888,38,555,41,120,112,15,350,107,203,62,147,30,BLUE,RED,BLUE,RED,RED
NORTH AMERICA,266,91,61,360,111,114,120,555,81,78,58,76,246,119,888,122,203,555,84,131,RED,RED,BLUE,RED,RED
NORTH AMERICA,104,113,84,360,526,-1,268,117,163,350,122,80,127,119,32,200,131,38,114,555,RED,BLUE,RED,RED,BLUE
NORTH AMERICA,27,113,39,15,555,266,200,131,114,119,875,62,163,360,32,107,30,246,114,134,BLUE,RED,RED,RED,RED
NORTH AMERICA,240,48,2,30,555,888,103,119,114,203,266,131,517,15,43,200,114,38,203,429,RED,RED,BLUE,RED,RED
NORTH AMERICA,240,131,80,221,555,203,53,246,119,114,150,234,112,895,5,62,107,517,-1,200,BLUE,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,23,245,236,119,526,429,421,147,246,200,114,48,38,221,235,29,104,157,41,163,BLUE,BLUE,RED,BLUE,BLUE
NORTH AMERICA,234,517,54,81,40,28,-1,268,9,29,516,876,238,221,350,29,7,266,163,26,RED,RED,RED,RED,RED
