SERVER,MATCH_ID,BSUM1_ID,BTOP_CHAMP_ID,BSUM2_ID,BJGL_CHAMP_ID,BSUM3_ID,BMID_CHAMP_ID,BSUM4_ID,BBOT_CHAMP_ID,BSUM5_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RSUM1_ID,RTOP_CHAMP_ID,RSUM2_ID,RJGL_CHAMP_ID,RSUM3_ID,RMID_CHAMP_ID,RSUM4_ID,RBOT_CHAMP_ID,RSUM5_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,BCHAMP_KILLS,RCHAMP_KILLS,FIRST_DRAG,BDRAG_KILLS,RDRAG_KILLS,FIRST_HERALD,BHERALD_KILLS,RHERALD_KILLS,FIRST_TOWER,BTOWER_KILLS,RTOWER_KILLS,FIRST_BARON,BBARON_KILLS,RBARON_KILLS,FIRST_INHIB,BINHIB_KILLS,RINHIB_KILLS,WINNER
EUROPE,EUW1_6011748426,ZCHr8rokYRXJMJIUWzFcIehrJs6jShr0Zkc3aFJZ4xEiTfE,113,F66NXGYFavcAokjrfJpUel2USWZkq8NHqpJTd_G27IMtrFI,234,Fh65e2b_r25M566GikjPVg2gejUQOkH4vyp2c931tnh4Dcg,7,BgbTbMspKYR1yIsQjzW-e_bpn45fjAEcAPnAGX5dLfR6sao,96,xCVtgc4dJSK7e6OflyZLkRudeb-yLQeRyt0yXHTmQScVD5WlPbkOSPs3Hg,117,421,29,429,119,888,-0xKeKNvTNUPuswOsqGYJVhcBlx-ydIhH_wJ30Y-1_44Iww,58,9yQnuOdgOLnKunsuZus2vvn4UYEGeISDFplKELuNtdR_We0,876,DH9W2rzVsRKlEmo1t3qE4UHlgEIkhfrMiiRV68Hl9Jx-cY8,84,dJhE_-wfFBbxWQ16z34X8iya45s8Ur2TwWjK4jnMjkUpb5di,147,GgrCnhqWSgoSVRMVCv5mCjPbeBRsba3gecpRV6etqcWG28o,235,-1,107,166,111,119,RED,40,41,BLUE,4,1,RED,1,1,RED,8,7,RED,0,2,BLUE,1,1,RED
EUROPE,EUW1_6011775414,ZCHr8rokYRXJMJIUWzFcIehrJs6jShr0Zkc3aFJZ4xEiTfE,58,f5RVtBz5U9FKFuEDUxN-t1qt3X8Sy4yk7IejkQLp7XUIF6m7EZ3bQ8KAwg,76,M-XkOhUlzZzfRms4gxKv9eOVrEOMozhWOXs810oIbNOu018,711,AGUOI4GQPW7jOOhbaw5YJKIwL961UbGqORy8UfSMui7AFos,29,tUyXI2Og22wZN9Rs-Lnpr0lVZGCjht9d83z3GtFStuHeVFs5,432,350,131,78,163,119,-0xKeKNvTNUPuswOsqGYJVhcBlx-ydIhH_wJ30Y-1_44Iww,85,Yz_mZku7L-h0eXLQ5XuUwu6MCEutMr_g2mpXTMORRe9Joc1W,121,NHEzktktk8wknoEBlRY9_RKIEbH_UJTdQg6v_c3YyC0hPA6X,517,1wM0omiBgx2JAvRo17PpKClVbgEX3rY85-HHZxrdQt-4aoAy,15,Y0cLihJHoUkfcjDb_vwKiYsOz-kxadXes56EDW1cXkbC-Llj,117,26,350,119,429,166,BLUE,27,10,BLUE,2,0,BLUE,1,0,BLUE,4,0,NONE,0,0,NONE,0,0,BLUE
EUROPE,EUW1_6011792863,-0xKeKNvTNUPuswOsqGYJVhcBlx-ydIhH_wJ30Y-1_44Iww,85,mXWMaBftMr90T5iBCoH8wSdOahXMMyl2cjXaXMohfhf66tdx,104,M-XkOhUlzZzfRms4gxKv9eOVrEOMozhWOXs810oIbNOu018,163,t2FwwZkUNMOehZ-CG2zm2GMI37C3r9QcODQZlhU9byDmR3g,523,613OPpUZzdbBqPJ6_zkB7HMk2XwsL9newKHOPZLI7IpdpISJHOT7_t22QA,32,555,166,350,119,429,ZCHr8rokYRXJMJIUWzFcIehrJs6jShr0Zkc3aFJZ4xEiTfE,887,x3x6asHKbZcBtTcJetQcPwAsu_RSJngmi0Ufrg43bnmfLDUw1wOkuCrVgg,59,u9JWuJUw7D-FNOvwTbeQvmwyHX8BJ4JUk5ZpCb61JZs77ms,517,7TuseBeL0rqTFLP9keTDPSrPcHm2PvtEABPTNJgeGyK478U,15,BWs-ltW0DRNbIA3jFiPiidn-lHav0e4SAQh-RtfJhSzXKKw,43,200,119,268,429,35,BLUE,14,39,RED,0,1,RED,0,2,RED,0,10,NONE,0,0,RED,0,2,RED
EUROPE,EUW1_6011760491,-0xKeKNvTNUPuswOsqGYJVhcBlx-ydIhH_wJ30Y-1_44Iww,150,x3x6asHKbZcBtTcJetQcPwAsu_RSJngmi0Ufrg43bnmfLDUw1wOkuCrVgg,102,MES5kWjWiNFspTZql1HZqe765e1hfDZynhuqm8_fMttggE4,43,d4Ye0k7glS4s-QU4qaFKbjiY1iNU4ELp47y45M_Jy3UW_VQ7AYTc-Dwimg,523,xCVtgc4dJSK7e6OflyZLkRudeb-yLQeRyt0yXHTmQScVD5WlPbkOSPs3Hg,518,429,7,35,166,-1,AnjGUFSDB1lIOQ-BN8kyuCgKcZE1a9--vXrnela0Q1PDIxc,74,f5RVtBz5U9FKFuEDUxN-t1qt3X8Sy4yk7IejkQLp7XUIF6m7EZ3bQ8KAwg,234,an5tMnZLLgwU51wUDNhGO7paLLHeGqPqeCEiEgcW_QFzWOVtY1OqrdM-Eg,711,7Fa7S45GBBFAvaW3BGMq4AJpClEZ61ZamQCUPYjGAgBkxRg,81,M7ucGzIBkm6qcmdh44ti4KvfrXKbIB93fZpK8pFBpaHDQUA,40,350,412,119,131,78,RED,20,34,RED,0,4,BLUE,2,0,BLUE,2,6,RED,0,1,RED,0,1,RED
EUROPE,EUW1_6011396052,9T_e3hPA8BJJkJ-VGvGVJWR24xPZ0yyY5aGTOIKl95Cd6h8g,516,o0qPYAZeEuja3dsmiuCqdaWVrLcC-J_K0bbt4OT7psjR_h8j,234,8zY6D7jcaWO0fE97F--eV7LMGlgIZlWD9t7VPC3QJo6hlco-iHqdoiPL1A,7,XvgmL9HC82teQG5o_5ODcv4zDzSAKMiLfoFaAhW658X-i-g,523,lV4REOCJ6FZgOG-7qF6sl3L0AxAuzCMyLnitZQYCAB4o5Dk,37,119,895,429,350,78,-0xKeKNvTNUPuswOsqGYJVhcBlx-ydIhH_wJ30Y-1_44Iww,150,GEwlnvESLSCGFNMMmcouKgR4ZttSTrb0NHROnTwnwGF3guRk,421,ZCozY6C2oOZOBAD8SyuT7qCvcuUInNGTjzbHjdVFYbrkjlg,163,phRNwx4Q7WqBKzL5laiQsRGbPkP_2HcL5xfSgzAPpn9dXiGf,115,6VeS6yBOFrE68TNpNFD4wPZhKOOTzoBmhwXDCnCj5ewrS7T5,32,166,15,119,350,200,RED,14,30,RED,0,2,RED,0,2,RED,0,10,NONE,0,0,RED,0,2,RED
EUROPE,EUW1_6011393368,-0xKeKNvTNUPuswOsqGYJVhcBlx-ydIhH_wJ30Y-1_44Iww,126,plDR3_s400-TpSQQ3M2VuHvPH0FVWSLwOLGpUQcoJM_Yzzik3_NXE48BVw,78,8zY6D7jcaWO0fE97F--eV7LMGlgIZlWD9t7VPC3QJo6hlco-iHqdoiPL1A,7,djm7cqo_zOnWQWe0yrluNzsgWQ6dppWrWC_9rLiIw6wVraM0quRDx2RGMA,222,PTAEnLOiKvFkFLvm9-Dwzb3SAh8bs98M4_6MB5hFZ3XFv4M,40,523,200,432,350,166,_EFmw_ILEasIH-SHx0ddj2XqSVXUKfVjWX21QKCmfzEnBJ13tdP4R9tAXg,122,jQZdzuZArblL2i32N_Hm_Q_Ykh3ME9MvITe2biMDHUjraXkNESUe2VsUbw,107,EARg7SAduTHwlBf70ctkJ-pCcamr8dpUdefB1S0FVc3s8s0r56MsPIEKeA,517,GgrCnhqWSgoSVRMVCv5mCjPbeBRsba3gecpRV6etqcWG28o,15,Y0cLihJHoUkfcjDb_vwKiYsOz-kxadXes56EDW1cXkbC-Llj,117,-1,119,350,85,254,RED,3,13,RED,0,1,BLUE,1,0,RED,1,2,NONE,0,0,NONE,0,0,RED
EUROPE,EUW1_6011305009,-0xKeKNvTNUPuswOsqGYJVhcBlx-ydIhH_wJ30Y-1_44Iww,58,WXGfDXUK0xe4WafPR0wHWyf5rQX5q_OdgLaej3nbfolFKXXL,11,sFST7comvw_CLNPyDwEBZHZYIrCU4wdU8g9wQsgmseNGfDn0,84,Cl1NCQiK7FCZy1IQQyECasWj207p_Vlmoz8tJFcf5FBoWIQ,523,SdGMS8cP4h1ZRmCO6KeD2z_N1iPljvb43dU1fwVqWLKIk4c,117,147,30,166,62,114,8uf8bwgu_sa8OlDLZ4kGPIMN9tZApfNBsvV3BirM_gM2Ae3004IFyiGndw,122,6pUJoHBk5WH2FlCQkvgdAIk_Yza0ZCIW_pKavWjapSTipwo,60,ntb2m4ugBX9o58pNE1GGHV4wbjSXGJRKZAOG882LS4bmamM,517,4jvxeV9D7EX20zvgJ0vAMMryB4YOMuxzZP3pRSaHsR5YP7aPJrsKIw_QRA,429,rN6r22tGkCGuWSPYj7Hipo9DR0zmUZjup6kO-m5jS4fpfpu5wQGKOp5Aeg,163,119,92,350,-1,55,RED,39,23,RED,0,2,BLUE,1,0,RED,7,3,BLUE,1,0,BLUE,1,0,BLUE
EUROPE,EUW1_6010590833,-0xKeKNvTNUPuswOsqGYJVhcBlx-ydIhH_wJ30Y-1_44Iww,85,IWmiLsi1E4cZoDJ5_ZkpdfV8-69EteML81YmPvdUToEGzuE,254,Z8ra21kFbXnXTjf_IktbrjCV5BzPyBUz20c35uzEzih5YE4E,103,WN_P5ZrZy-oDfFZ0uFK1WZFFgIRtGdF5SjBje_nXdDpE4Bk,22,5sMJ5rlTSdVCKUXro1C7TaRnTFEEa4gnc73lX-YsppWPCxdD,888,119,55,246,350,166,hfqQD0yGn0O8W0Bh__FKb_7KppvuQwfXqlQCIyRRc8IOvigd,234,6RiudqRJteL5ATO-ojSb1_JgjmEybsvXA_1Zw6FJ5kPlr3Id,9,qdPCqvBEiOg1HHGs7UwXYaKu_iZeEsl3zeyK1fP5133cYQI,517,0lSpsy5PxDo74Dpjj6pRfIAm231sVt85b4C0NjZXSuJYP_wP26Lv_Jyosw,429,TFrqUhhsR6ihU8X1n5cqviWKTLRFINR_b-ePdm3TXIJu7lo,43,114,119,55,62,555,BLUE,22,7,RED,1,2,BLUE,2,0,BLUE,6,0,BLUE,1,0,NONE,0,0,BLUE
EUROPE,EUW1_6009964718,GVTkX8f7J1EeTyu71aViRxLb__YUSGSRRX7unEt48So3y8vHerX_rhEi7A,60,LVflJ77SA2h1n4N3CCSousGVtoUs-Oj-IExjIsbqjygoNxU,59,Y0cLihJHoUkfcjDb_vwKiYsOz-kxadXes56EDW1cXkbC-Llj,117,XvN7cKFUDi-OKYwPVy9iCEsS3zHeRvdMlktb8s4Yf15ERwjikewjp_uRPw,67,5An_Gy4Thsh56Jhxu_mCHAXAAM26lvl2lj22Ma968406ZTY,61,223,107,-1,119,-1,-0xKeKNvTNUPuswOsqGYJVhcBlx-ydIhH_wJ30Y-1_44Iww,150,54VTpEgI0e5ERZoFJC-dhnf5S4dV116r0JwAaHuK7Te4CNhO,64,Gu0-dhJT1_53zm_TQt4BQ1uQ_CZhl4fHrN33OQG3cfz5teM,7,d4Ye0k7glS4s-QU4qaFKbjiY1iNU4ELp47y45M_Jy3UW_VQ7AYTc-Dwimg,236,fZ75lFSz2I_bgRiYgGVVlOh1BrPTlebYq8PYeSXOhJ24Ks-y,267,555,77,166,119,517,RED,27,38,BLUE,2,1,RED,1,1,RED,5,9,RED,0,1,RED,0,1,RED
EUROPE,EUW1_6009859191,-0xKeKNvTNUPuswOsqGYJVhcBlx-ydIhH_wJ30Y-1_44Iww,58,LVflJ77SA2h1n4N3CCSousGVtoUs-Oj-IExjIsbqjygoNxU,59,kAvtgBkgbviXntAhnuyia0SziQtt9bOnkW5X4iBcT-lMFDRx6EnJq3oo8g,134,y3_IM4zPNvKXDiMe0FLZQckEoUb-hJJHbH4AAmMkAKrCMtuL,429,S8Dvb-oJihP8KMNG_FDYI82kOwE70tpWP3b0z6mQvXQaJ3U_YWjYGeFkcg,888,421,107,895,517,166,WOOpl8rJjPFoF4i5hOaEE8xkSOcXwEYeWoJI_f0zJUuTBJk,79,W8Ff2WJ-CfhmSwTUaDSjEl5ixKGmv7_5cbZtvYIJO2XbhRo,200,cfuev4LL6oqHtIbkGWxQABOB_evYDRw8YoWSlBp8SKFqVgE,103,w4RrNT_HhRCcxv3pP3nDxVyfP_E-XvLtV-l4EqSBGP4elfs,523,GPXg81h5Hn3Vz-8rHAXerYtR1jFlyAZUYjWXrYm_YRlEKBqX,412,119,163,11,350,107,RED,18,31,RED,0,2,BLUE,2,0,BLUE,5,9,RED,0,1,RED,0,2,RED
