BTOP_CHAMP_MAST,BJGL_CHAMP_MAST,BMID_CHAMP_MAST,BBOT_CHAMP_MAST,BSUP_CHAMP_MAST,RTOP_CHAMP_MAST,RJGL_CHAMP_MAST,RMID_CHAMP_MAST,RBOT_CHAMP_MAST,RSUP_CHAMP_MAST
21271.0,795976,268391,775269.0,2707.0,81676.0,271397,218668,29818,175627
212296.0,71232,36843,369443.0,929672.0,178130.0,98280,87696,129255,228794
178130.0,139557,88865,96525.0,4418.0,75890.0,29277,120804,71743,324962
250073.0,47481,77696,7441.0,10719.0,47150.0,22579,25439,813848,611028
17350.0,31969,33073,222063.0,1659383.0,250073.0,273932,146594,55686,29079
328616.0,10448,33073,122468.0,17226.0,11962.0,116793,122318,380111,228794
81676.0,206505,23116,86587.0,12033.0,113612.0,208788,361361,18611,10619
178130.0,40273,9315,258966.0,101037.0,84725.0,387275,339788,53269,1708988
15679.0,22095,227862,189344.0,5088.0,250073.0,75329,16466,9753,50321
81676.0,22095,23452,236240.0,41774.0,113670.0,15025,163477,69308,26515
328616.0,140402,43690,126889.0,34438.0,47150.0,206655,506438,8338,93193
178130.0,48097,522071,51579.0,93548.0,113612.0,1130,88709,22214,49137
40519.0,62422,51435,67902.0,14873.0,702489.0,18395,8118,151870,31128
113612.0,62422,82935,67902.0,1090726.0,81676.0,43669,255631,56433,181686
250073.0,46126,87002,31528.0,15524.0,47150.0,23016,354808,236240,10420
333472.0,293786,159691,29139.0,26942.0,81676.0,200361,1381915,127380,55898
27752.0,147167,100771,220401.0,18570.0,80553.0,517180,99574,124350,1066
54707.0,215403,262415,46554.0,154845.0,51037.0,149915,88709,28207,28727
125862.0,51177,74873,8338.0,10719.0,178130.0,75219,3377767,24383,32807
861270.0,32068,55036,67761.0,10719.0,80553.0,28405,44034,60935,1362633
591842.0,79083,1381772,497481.0,1354543.0,242955.0,818057,173355,12538,25928
1160830.0,83206,9065,379150.0,375613.0,591842.0,123246,87696,629,7744
591842.0,51019,225052,8419.0,105430.0,393238.0,210382,17569,111462,124925
6687.0,791841,34539,3357.0,37144.0,6129.0,56165,16466,24306,51628
1082199.0,34101,506438,5670.0,195554.0,66263.0,12511,40881,696398,930650
311287.0,8055,1059,53269.0,39092.0,264410.0,68926,23219,41729,13748
72235.0,795976,166842,147062.0,274705.0,47150.0,76993,16466,270750,117070
38927.0,12204,183261,335007.0,84202.0,9109.0,150309,34438,101908,171180
3283607.0,710840,14272,775434.0,159698.0,39653.0,51171,16178,64382,85555
6924.0,1139014,521030,26899.0,929672.0,167125.0,216736,87940,407051,129648
24853.0,30337,181307,148184.0,8092.0,345727.0,32068,32400,141178,1091555
1514.0,246926,15850,24695.0,46190.0,17383.0,188146,446819,307031,9715
4184.0,123246,41933,65732.0,95236.0,80028.0,206655,74523,90147,1743719
265990.0,147167,107382,306022.0,32613.0,146669.0,91090,16466,16380,160254
26141.0,491913,150950,48543.0,125469.0,52667.0,24191,33938,220401,69631
24364.0,7424,257389,7534.0,58497.0,137332.0,46703,68974,149790,838615
182648.0,2079,19427,133908.0,11110.0,32853.0,24509,102823,157583,57722
1947.0,15617,45320,53269.0,57722.0,3508.0,51171,86539,29139,114
134604.0,232558,66968,113077.0,57722.0,309982.0,145879,494248,36822,85636
720711.0,111950,87830,13366.0,93170.0,218731.0,52086,140513,112797,8025
37093.0,53615,83426,2851.0,24457.0,117979.0,13449,173355,112797,68250
766083.0,9369,3019443,102930.0,32807.0,43631.0,222776,27257,23430,30281
135321.0,80515,13135,966200.0,40165.0,117979.0,156197,65481,146565,1207722
117799.0,795976,161767,88184.0,510434.0,71285.0,18462,295968,6214,320625
3388533.0,169600,12048,11969.0,929672.0,298555.0,4422,89740,319475,43824
91655.0,22211,800112,284228.0,399354.0,244080.0,96141,209120,89690,35239
720711.0,1400967,5353,184.0,116822.0,4433.0,116793,46318,3676,395016
76787.0,40348,81600,45998.0,102638.0,27256.0,4422,89740,11715,67507
80325.0,24381,39842,61435.0,78104.0,116628.0,8399,166078,25396,147652
205025.0,40273,218731,157027.0,227862.0,45251.0,154977,34039,148025,1084
51581.0,76571,40881,160856.0,1648.0,9366.0,1223005,261216,8700,63971
212296.0,13432,36674,5995.0,2885.0,6916.0,76571,339788,220298,68194
9068.0,89470,40881,336715.0,3169.0,113612.0,79370,3923412,12048,119084
113670.0,2895,124232,6083.0,9733.0,34552.0,30975,401204,27049,228794
32853.0,350421,239290,77623.0,24719.0,15166.0,17923,129703,285570,32807
37093.0,195253,159055,40015.0,137124.0,74489.0,94602,198391,11791,147652
2135.0,46743,29428,83402.0,129298.0,37467.0,27401,90055,212275,1655077
56184.0,341174,473597,65172.0,3941.0,27918.0,2376338,166078,12048,29565
51190.0,89819,443704,45998.0,375613.0,1243960.0,2376338,3377767,111717,2018489
1131174.0,51337,42844,50384.0,78580.0,11040.0,1648823,80318,53240,379599
177518.0,38345,87830,145.0,33190.0,13478.0,9317,4714,38410,379599
35554.0,90202,130597,383707.0,375613.0,909229.0,25074,166429,52451,1091555
28076.0,66540,132253,106610.0,375613.0,616850.0,9571,214540,775269,1691454
152804.0,51337,62422,966200.0,375613.0,155459.0,140295,800301,111462,650277
444484.0,90202,393692,18164.0,929672.0,113612.0,960842,107821,959238,161064
113612.0,90202,172528,823680.0,375613.0,3389828.0,960842,87696,112147,451641
47150.0,387153,87567,92949.0,375613.0,31120.0,295968,47180,50896,1655077
